年份,总收益率,年化收益率,年化波动率,夏普比率,最大回撤,Calmar比率,交易日数
2019,0.000000,0.000000,,,0.000000,0.000000,1
2020,0.224573,0.234868,0.163215,1.285835,-0.140234,1.674834,242
2021,0.153981,0.160831,0.186189,0.729531,-0.214830,0.748644,242
2022,0.321865,0.337195,0.201598,1.548601,-0.115482,2.919898,242
2023,0.067435,0.070318,0.109148,0.415197,-0.085200,0.825324,242
2024,0.176756,0.183872,0.113890,1.394962,-0.107718,1.706966,243
2025,0.549055,0.577324,0.156903,3.520163,-0.085138,6.781061,242
2026,0.439314,0.679464,0.296708,2.205749,-0.175186,3.878525,177
