year,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2014,-0.031040000000000068,0.04888746697490087,0.009170249820431797,-0.03847316335982065,0.011661038947870628,0.04232777716525171,0.1036714362643274,0.08347782143883942,0.2062257748041878,-0.0015666771111807476,0.06001442269170232,-0.03768771417052963
2015,0.11006159626625833,0.05962272161714344,0.2591238438679091,0.14518445838139837,0.2582225035313732,-0.03622861665025601,-0.1787226052030224,-0.02986277693598427,-0.02669159266760146,0.23035882113937967,0.13612286015450858,0.131851225498832
2016,-0.2918620818461025,0.010135902414007969,0.22217387047291615,0.05790702711684381,-0.056779202275207274,0.034582732422427265,0.02501976000574846,0.08269915598799882,0.026869676243061802,0.03996993679665484,0.04829439354328646,-0.014914634710590624
2017,-0.0025551122206223242,0.05961269056448271,-0.03099252517531592,-0.04303639565600237,-0.07045058083809352,0.037983950588642124,0.013259259627181219,0.04038225396506401,0.007435031815622661,-0.03144986472044975,-0.10086097000366945,-0.019865255673197413
2018,-0.028459416291563344,-0.026380127628495953,0.03345806735637269,-0.06719074042934803,0.001934834532590246,-0.1351858681995507,0.03118520419131321,-0.07181237390719564,0.01137141677202469,-0.10226303988079466,0.07777139391617927,0.026928373635811687
2019,-0.03927209280528354,0.2602962807312459,0.12454075040044854,-0.025332006015292063,-0.042201794988808716,0.012762336925695061,-0.041439372724727086,-0.04300588369334668,0.01032721677997217,0.0017584994138328813,-0.00794761511223141,0.13814679350949022
2020,-0.048259778976302625,0.035134991004342586,0.02346251772636232,-0.0231153994923885,0.018194934491184922,0.03841113579339317,0.1788133658579132,0.08515767966211962,-0.05975051483135363,-0.003945328411270044,0.08053372272025561,-0.022277791758227194
2021,-0.0891980625417994,0.04963096634083719,0.02330609977910747,-0.00790526935092295,0.09057423261641251,-0.011817506452526771,0.03469455768604801,0.09806370667216036,0.012747771484897585,-0.056633639357954735,0.09325443575738057,0.13149365757604947
2022,-0.044912106528445905,0.058128888580001536,0.0552268300901837,-0.1501408610793129,0.130223160549495,0.04725881409917765,0.08497398453599958,-0.010173896009541439,-0.062302096276404484,0.03261700069994733,0.1071850834232364,-0.01477149917338949
2023,0.10423095076026168,0.04056463149032008,-0.054625317877076585,-0.039790393013100944,0.02618605835698129,0.08791425507210393,0.07033161088219808,-0.013238883153583236,0.011619150288165514,0.044888579214607205,0.10111427854683064,-0.003207770226888562
2024,-0.196297031990605,-0.02877727600352864,0.11122302847681764,-0.01881292854651595,0.00816691243249501,-0.11196050264778357,0.02102994367291,-0.016547943098150997,0.2115279748158223,0.2594848409315478,0.10183446986604361,-0.06815402139480353
2025,0.009907278303068034,0.02885218754848773,0.02989616218477842,0.023482738311598972,0.10901209902053166,0.06403186152088924,0.05830352295381269,0.06263351112850479,0.0050895938342883085,0.07258317524219193,0.08770736598677908,0.000407235529815253
2026,0.09136540386931769,0.038136400034429974,-0.09424756717022231,0.043924315537649194,-0.12267117232195479,-0.14168747869039144,0.02748297248426068,0.12846754936540217,-0.03617073264048298,,,
