date,market_cap,pb_ratio,ps_ratio,pe_ratio,有息负债率(%),商誉占比(%),应收占比(%),近20日换手率(%),近20日日均成交额(万元)
2014-01-02,24.221166666666665,1.95852,1.4971733333333332,26.78149,28.500901137231388,0.3440617566407644,9.408160246145055,1.8326414161510676,4049.0551795
2014-02-07,24.751628433333334,2.157796666666667,1.6162999999999998,9.918119999999998,22.967174238655666,1.0703510058123304,9.83554194547288,1.8093065939078115,4127.478982222222
2014-03-03,22.207193333333336,2.0714166666666665,1.8774300000000002,35.70173666666667,22.43002908962796,1.3054359456866254,9.416140147865182,2.0912849690455486,4310.341124313726
2014-04-01,22.2477051,2.2031633333333334,1.7807466666666667,37.39588333333334,19.58719840908723,1.1736523922439752,8.984426925855734,1.7764993235672144,3631.894976
2014-05-05,22.486206666666664,2.05632,1.6444766666666666,16.663159999999998,22.664039184204288,0.05741156921591607,8.885545342708081,2.207687637513596,4072.7194305555554
2014-06-03,24.279261766666664,1.9236,1.6846566666666667,48.14906666666666,23.201023744870756,0.2561470990291629,7.850837350652171,2.260712830391564,4760.687824
2014-07-01,24.746013333333334,1.9718766666666667,1.66377,31.255783333333337,22.127820965485284,0.37737797114146077,7.899027162601914,1.6932489936041395,3877.5045623333335
2014-08-01,22.58316,1.9959999999999998,1.938146666666667,55.61344666666666,21.396154290894305,0.5211847653168709,7.3468564323280505,2.440447862147787,4902.621774
2014-09-01,22.815263333333334,2.0888066666666667,1.8426233333333333,2.929526666666666,23.10820277632339,0.8631411753615761,7.570369994404319,2.4905540088638825,5079.267099833333
2014-10-08,27.261536666666665,2.3018133333333335,1.6330766666666667,22.874183333333335,25.0070907817136,0.5679859088871534,7.660433539932265,3.0020345161102355,7661.21368
2014-11-03,26.126246666666667,1.6986133333333333,1.67218,30.420613333333332,23.634514649108947,0.07445414659824293,7.717007306471043,2.2655906376003716,5445.0589238596485
2014-12-01,26.917346666666667,1.9099499999999998,1.7003666666666668,26.938723333333332,22.408615443661198,0.4939967727803113,7.070707940359725,2.373707916257947,5867.012588166666
2015-01-05,24.690710000000003,2.3511,1.9294333333333333,19.448436666666666,22.274575992033526,0.47855862507171865,8.82983467879771,2.1956749390428625,5061.139903508772
