指标,数值
总收益率,22.02164000000014
年化收益率,0.290837447540498
年化波动率,0.3079065323302626
夏普比率,0.9445640705944615
Sortino比率,1.1098057594990007
Calmar比率,0.5760441404307604
最大回撤,-0.5048874333189337
日胜率,0.5739664082687338
交易日数,3096.0
