date,成分数,换手率,CR5,CR10,HHI
2014-01-02,30,,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-02-07,30,0.7755102040816326,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-03-03,30,0.6956521739130435,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-04-01,30,0.42105263157894735,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-05-05,30,0.75,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-06-03,30,0.75,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-07-01,30,0.6956521739130435,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-08-01,30,0.75,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-09-01,30,0.6046511627906976,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-10-08,30,0.5714285714285714,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-11-03,30,0.3783783783783784,0.16666666666666669,0.33333333333333337,0.03333333333333335
2014-12-01,30,0.18181818181818182,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-01-05,30,0.42105263157894735,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-02-02,30,0.5714285714285714,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-03-02,30,0.3333333333333333,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-04-01,30,0.46153846153846156,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-05-04,30,0.5,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-06-01,22,0.7619047619047619,0.22727272727272724,0.45454545454545453,0.04545454545454545
2015-07-01,30,0.631578947368421,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-08-03,30,0.6666666666666666,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-09-01,30,0.5714285714285714,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-10-08,30,0.5365853658536586,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-11-02,30,0.46153846153846156,0.16666666666666669,0.33333333333333337,0.03333333333333335
2015-12-01,30,0.6363636363636364,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-01-04,30,0.6363636363636364,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-02-01,30,0.75,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-03-01,30,0.42105263157894735,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-04-01,30,0.723404255319149,0.16666666666666669,0.33333333333333337,0.03333333333333335
2016-05-03,30,0.5714285714285714,0.16666666666666669,0.33333333333333337,0.03333333333333335
