指标,数值
策略组合_总收益率,0.5627103458741047
策略组合_年化收益率,0.14080139995579888
策略组合_历史最大回撤,-0.12271521396236601
策略组合_XIRR,0.26694481373627554
基准_总收益率,0.0570866549115312
基准_年化收益率,0.017144339461902636
基准_历史最大回撤,-0.1546402018462501
基准_XIRR,0.031726242161428685
超额总收益率,0.5056236909625735
超额年化收益率,0.12365706049389624
超额XIRR,0.23521857157484685
