date,strategy_value,principal,benchmark_value
2023/4/17,18154.23,16800,17984.74
2023/4/18,18127.83,16800,18008.24
2023/4/19,18159.18,16800,18021.67
2023/4/20,18306.23,16800,18148.14
2023/4/21,18010.43,16800,17932.14
2023/4/24,17905.53,16800,17953.4
2023/4/25,17861.14,16800,18077.63
2023/4/26,17833.99,16800,18091.06
2023/4/27,17965,16800,18140.3
2023/4/28,18144.79,16800,18407.78
2023/5/4,18168.11,16800,18835.29
2023/5/5,22446.38,21000,23055.71
2023/5/8,22683.52,21000,23634.43
2023/5/9,22451.09,21000,23397.75
2023/5/10,22272.26,21000,22895.64
2023/5/11,22270.09,21000,22829.97
2023/5/12,22134.21,21000,22611.07
2023/5/15,22240.94,21000,22538.56
2023/5/16,22188.74,21000,22325.13
2023/5/17,22239.5,21000,22260.83
2023/5/18,22451.77,21000,22474.26
2023/5/19,22399.5,21000,22193.79
2023/5/22,22364.71,21000,22166.43
2023/5/23,22088.53,21000,21861.34
2023/5/24,21965.14,21000,21580.87
2023/5/25,22124.78,21000,21470.05
2023/5/26,22450.85,21000,21755.99
2023/5/30,22572.77,21000,21944.79
2023/5/31,22601.6,21000,21798.4
2023/6/1,22650.57,21000,21891.44
2023/6/2,22715.95,21000,21913.33
2023/6/5,26946.41,25200,26332.13
2023/6/6,26767.62,25200,26156.37
2023/6/7,26728.46,25200,26382.58
2023/6/8,26807.46,25200,26561.6
2023/6/9,26958.75,25200,26579.5
2023/6/12,26956.62,25200,26389.09
2023/6/13,27179.43,25200,26366.31
2023/6/14,27108.5,25200,26211.7
2023/6/15,27120.99,25200,26249.13
2023/6/16,27161.26,25200,26192.17
2023/6/20,27023.67,25200,25604.66
2023/6/21,26652.41,25200,25406.11
2023/6/26,26373.83,25200,24981.35
2023/6/27,26607.89,25200,25446.8
2023/6/28,26620.81,25200,25557.47
2023/6/29,26544.34,25200,25497.25
2023/6/30,26741.4,25200,25601.41
2023/7/3,26917.82,25200,25930.15
2023/7/5,31036.39,29400,29984.36
2023/7/6,30935.32,29400,29925.7
2023/7/7,30828.41,29400,29991.93
2023/7/10,30848.53,29400,30090.33
2023/7/11,30997.99,29400,30152.77
2023/7/12,30934.38,29400,30054.38
2023/7/13,31324.07,29400,30474.45
2023/7/14,31276.37,29400,30542.57
2023/7/17,31234.48,29400,30342
2023/7/18,31266.69,29400,30292.8
2023/7/19,31339.27,29400,30514.19
2023/7/20,31030.58,29400,30351.46
2023/7/21,30923.36,29400,30332.53
2023/7/24,30891.2,29400,30353.35
2023/7/25,31231.63,29400,30881.28
2023/7/26,31191.08,29400,30824.52
2023/7/27,31150.66,29400,30879.39
2023/7/28,31540.28,29400,31327.85
2023/7/31,31672.12,29400,31581.41
2023/8/1,31651.93,29400,31649.53
2023/8/2,31330.43,29400,31254.05
2023/8/3,31393.59,29400,31297.57
2023/8/4,31402.28,29400,31350.56
2023/8/7,35548.49,33600,35357.13
2023/8/8,35443.23,33600,35339.96
2023/8/9,35227.92,33600,35123.11
2023/8/10,35247.23,33600,35178.93
2023/8/11,34835.89,33600,34667.94
2023/8/14,34841.54,33600,34682.97
2023/8/15,34728.87,33600,34856.88
2023/8/16,34504.94,33600,34743.09
2023/8/17,34457.64,33600,34713.03
2023/8/18,34375.86,33600,34577.77
2023/8/21,34330.02,33600,34371.65
2023/8/22,34544.47,33600,34777.44
2023/8/23,34483.74,33600,34740.94
2023/8/24,34313.43,33600,34552
2023/8/25,34258.37,33600,34556.3
2023/8/28,34545.25,33600,34989.99
2023/8/29,34971.02,33600,34962.08
2023/8/30,35140.81,33600,34691.56
2023/8/31,35179.53,33600,34453.24
2023/9/1,35194.82,33600,34695.85
2023/9/5,39495.06,37800,39179.35
2023/9/6,39529.73,37800,39109.62
2023/9/7,39055.45,37800,38989.39
2023/9/8,39120.4,37800,38765.77
2023/9/11,39351.41,37800,39073.55
2023/9/12,39139.48,37800,39001.42
2023/9/13,39103.97,37800,39100
2023/9/14,39249.32,37800,39388.55
2023/9/15,39063.4,37800,39386.14
2023/9/18,38941.67,37800,39350.07
2023/9/19,38970,37800,39585.72
2023/9/20,38806.41,37800,39701.13
2023/9/21,38507.11,37800,39407.78
2023/9/22,38833.34,37800,39681.9
2023/9/25,38819.99,37800,39600.14
2023/9/26,38601.77,37800,39520.8
2023/9/27,38425.58,37800,39419.8
2023/9/28,38406.45,37800,39400.57
2023/10/9,42619.85,42000,43456.91
2023/10/10,42726.97,42000,43036.39
2023/10/11,42933.55,42000,42935.25
2023/10/12,43173.17,42000,43443.6
2023/10/13,42994.04,42000,43371.74
2023/10/16,43027.99,42000,43574.01
2023/10/17,43180.77,42000,43773.62
2023/10/18,42910.2,42000,43564.86
2023/10/19,42642.17,42000,42797.68
2023/10/20,42395.6,42000,42542.84
2023/10/23,41993.32,42000,41962.69
2023/10/24,42252.2,42000,42271.74
2023/10/25,42063.83,42000,42678.39
2023/10/26,42028.91,42000,42868.16
2023/10/27,42274.13,42000,42979.3
2023/10/30,42396.29,42000,42293.43
2023/10/31,42440.16,42000,42344.93
2023/11/1,42564.2,42000,42353.08
2023/11/2,42670.1,42000,42466.94
2023/11/3,42947.54,42000,42260.91
2023/11/6,47309.62,46200,46399.78
2023/11/7,47392.42,46200,46411.69
2023/11/8,47476.69,46200,46429.57
2023/11/9,47287,46200,46548.1
2023/11/10,47446.09,46200,46238.11
2023/11/13,47495.41,46200,46444.78
2023/11/14,47908.61,46200,46438.7
2023/11/15,47981.15,46200,46769.96
2023/11/16,47792.45,46200,46769.96
2023/11/17,47801.5,46200,46663.6
2023/11/20,47919.06,46200,46745.64
2023/11/21,47736.43,46200,46882.38
2023/11/22,47528.95,46200,46812.51
2023/11/24,47438.4,46200,46964.46
2023/11/27,47523.96,46200,46754.74
2023/11/28,47590.53,46200,46721.33
2023/11/29,47362.73,46200,46314.1
2023/11/30,47424.78,46200,46481.24
2023/12/1,47530.01,46200,46700.06
2023/12/4,47429.28,46200,46772.97
2023/12/5,51130.28,50400,50275.9
2023/12/6,51037.65,50400,50209.6
2023/12/7,51212.02,50400,50299.11
2023/12/8,51467.36,50400,50136.65
2023/12/11,51808.46,50400,50704.5
2023/12/12,51936.13,50400,50986.75
2023/12/13,51733.38,50400,50600.33
2023/12/14,51743.59,50400,50533.13
2023/12/15,51560.71,50400,50230.73
2023/12/18,51516.95,50400,50193.76
2023/12/19,51649.29,50400,50166.88
2023/12/20,51334.16,50400,50072.8
2023/12/21,51599.17,50400,49955.18
2023/12/22,51551.54,50400,49971.98
2023/12/26,51282.83,50400,49951.83
