date,strategy_return,max_drawdown,xirr,benchmark_return,benchmark_xirr,benchmark_drawdown,excess_return
2023-01-03,0.0,0.0,,0.0,,0.0,0.0
2023-01-04,0.0,0.0,,0.0,,0.0,0.0
2023-01-05,-0.0007574068342529605,-0.0007574068342529605,,-0.0010000000000000009,,-0.0010000000000000009,0.00024259316574704037
2023-01-06,0.004228996486392855,-0.0007574068342529605,3.6661251056097526,-0.0020393258426966154,-0.5253197958736727,-0.0020393258426966154,0.006268322329089471
2023-01-09,0.005202958803929514,-0.0007574068342529605,0.6056668513339889,-0.002524344569288295,-0.20597288548171788,-0.002524344569288295,0.007727303373217809
2023-01-10,0.0034298816986633174,-0.0017638996082700996,0.28396500996550267,-0.00903745318352056,-0.48455945889141805,-0.00903745318352056,0.012467334882183878
2023-01-11,0.006920194698241566,-0.0017638996082700996,0.5212442257533189,-0.005434456928838927,-0.28215219482329734,-0.00903745318352056,0.012354651627080493
2023-01-12,0.006816063212808476,-0.0017638996082700996,0.42504478487131714,-0.006820224719101042,-0.3001185183733286,-0.00903745318352056,0.013636287931909519
2023-01-13,0.010372526135260518,-0.0017638996082700996,0.6012890565045904,0.0019794007490636645,0.0944160101632141,-0.00903745318352056,0.008393125386196854
2023-01-17,0.021489087268254936,-0.0017638996082700996,0.9092347428346473,0.0030880149812735347,0.09832072096770329,-0.00903745318352056,0.0184010722869814
2023-01-18,0.020807942409199365,-0.0017638996082700996,0.7828759842926751,0.006621722846442024,0.20358518823070476,-0.00903745318352056,0.01418621956275734
2023-01-19,0.024834714615634246,-0.0017638996082700996,0.8956603042815726,0.009670411985018834,0.2851946671143019,-0.00903745318352056,0.015164302630615412
2023-01-20,0.03542360696058888,-0.0017638996082700996,1.3327749938742386,0.017915730337078717,0.5404741933060127,-0.00903745318352056,0.017507876623510166
2023-01-30,0.04062810082993429,-0.0017638996082700996,0.7886073849080876,0.01715355805243446,0.2818677759667659,-0.00903745318352056,0.02347454277749983
2023-01-31,0.036845898234172614,-0.0036345382108605817,0.661894260684942,0.01895505617977533,0.30161953026411387,-0.00903745318352056,0.017890842054397282
2023-02-01,0.04685291111178569,-0.0036345382108605817,0.857054851564639,0.02373595505617998,0.37317560639038266,-0.00903745318352056,0.02311695605560571
2023-02-02,0.05811768512408699,-0.0036345382108605817,1.088420098727483,0.024359550561797727,0.36853141950608614,-0.00903745318352056,0.033758134562289266
2023-02-03,0.04978134970848003,-0.007878457692188891,0.8431238867415047,0.01680711610486907,0.23340648415637555,-0.00903745318352056,0.03297423360361096
2023-02-06,0.021147346701884118,-0.03493972262439533,0.6040002985006688,0.006864232209737642,0.16827133231781818,-0.017079274891775048,0.014283114492146476
2023-02-07,0.02672553410028433,-0.03493972262439533,0.7503485893667944,0.010783061928819837,0.25758816444468635,-0.017079274891775048,0.015942472171464495
2023-02-08,0.017575027831657986,-0.03831582995201003,0.4203287615283459,0.0049391930494870895,0.10485666117204176,-0.018958536093757094,0.012635834782170896
2023-02-09,0.026328781358185838,-0.03831582995201003,0.6400533992959272,0.012983106683392087,0.2797746019262174,-0.018958536093757094,0.01334567467479375
2023-02-10,0.022436659248910473,-0.03831582995201003,0.494972878280775,0.015801914025187935,0.329374940735003,-0.018958536093757094,0.006634745223722538
2023-02-13,0.027723864864817926,-0.03831582995201003,0.5390160605083376,0.019170732555626735,0.34983146629290385,-0.018958536093757094,0.008553132309191191
2023-02-14,0.03028333686348028,-0.03831582995201003,0.5694958846499572,0.024395838847736107,0.43997259808153955,-0.018958536093757094,0.005887498015744175
2023-02-15,0.031330913868970134,-0.03831582995201003,0.5645551699500039,0.021645782904520683,0.3651951169355516,-0.018958536093757094,0.009685130964449451
2023-02-16,0.021293342767362722,-0.03831582995201003,0.34261200428822836,0.01690193640247406,0.26434253868575686,-0.018958536093757094,0.004391406364888661
2023-02-17,0.013211475787010318,-0.042439711544761165,0.19365863512653117,0.013808123466356736,0.20315119805311585,-0.018958536093757094,-0.0005966476793464182
2023-02-21,0.019530579147354343,-0.042439711544761165,0.2550260506040688,0.045571269610494625,0.6847555148298083,-0.018958536093757094,-0.02604069046314028
2023-02-22,0.01986678106985562,-0.042439711544761165,0.25086439959692225,0.045777523806235676,0.6615092106442833,-0.018958536093757094,-0.025910742736380055
2023-02-23,0.02281952037724455,-0.042439711544761165,0.2826171729191766,0.04591502660339675,0.6387628687994753,-0.018958536093757094,-0.023095506226152196
2023-02-24,0.01723520916060295,-0.042439711544761165,0.20093792417724501,0.043577479051663426,0.5773848230265913,-0.018958536093757094,-0.026342269891060477
2023-02-27,0.016997214203553268,-0.042439711544761165,0.18057897083239596,0.0391086381439385,0.45805111506920254,-0.018958536093757094,-0.022111423940385233
2023-02-28,0.01877981388409844,-0.042439711544761165,0.19532533693509127,0.044539998631788924,0.5173423058354384,-0.018958536093757094,-0.025760184747690484
2023-03-01,0.02177276911642756,-0.042439711544761165,0.22289386386686644,0.05175889548272927,0.600476876913913,-0.018958536093757094,-0.029986126366301713
2023-03-02,0.021600620393231962,-0.042439711544761165,0.21491579697740126,0.057671515760642444,0.6642300111317652,-0.018958536093757094,-0.03607089536741048
