date,240019.OF,017469.OF,539001.OF,011613.OF,007466.OF,000217.OF
2023/5/5,0.142862,0.095232,0.238096,0.142849,0.214294,0.166667
2023/5/8,0.146348,0.09444,0.236295,0.142372,0.217377,0.163168
2023/5/9,0.146375,0.092592,0.237496,0.140921,0.217428,0.165189
2023/5/10,0.143235,0.092065,0.24225,0.140931,0.21447,0.167049
2023/5/11,0.142864,0.092622,0.242478,0.14098,0.213876,0.16718
2023/5/12,0.142531,0.092439,0.244348,0.140266,0.213125,0.167291
2023/5/15,0.143225,0.092361,0.24477,0.141147,0.211423,0.167075
2023/5/16,0.143301,0.092895,0.245375,0.141479,0.209913,0.167037
2023/5/17,0.14198,0.093324,0.248251,0.14164,0.208831,0.165975
2023/5/18,0.14188,0.093611,0.250583,0.140951,0.20884,0.164136
2023/5/19,0.140411,0.095151,0.25185,0.142,0.206715,0.163874
2023/5/22,0.140963,0.094149,0.252184,0.14119,0.206781,0.164733
2023/5/23,0.140387,0.093367,0.252937,0.140886,0.206485,0.165938
2023/5/24,0.138309,0.093757,0.253943,0.141101,0.204981,0.16791
2023/5/25,0.136874,0.09461,0.258461,0.141385,0.202457,0.166214
2023/5/26,0.136005,0.095782,0.261632,0.14147,0.202174,0.162938
2023/5/30,0.135002,0.097673,0.26153,0.141437,0.202827,0.161532
2023/5/31,0.134121,0.099128,0.259599,0.142548,0.201217,0.163388
2023/6/1,0.133379,0.097175,0.262656,0.142189,0.201638,0.162963
2023/6/2,0.134503,0.09595,0.263375,0.141763,0.201259,0.16315
2023/6/5,0.142853,0.095239,0.23811,0.142856,0.214279,0.166663
2023/6/6,0.143613,0.093122,0.240117,0.140152,0.214271,0.168726
2023/6/7,0.14491,0.092991,0.236672,0.139875,0.21644,0.169112
2023/6/8,0.146984,0.090711,0.239058,0.138005,0.217267,0.167975
2023/6/9,0.145467,0.091706,0.237949,0.140488,0.216193,0.168197
2023/6/12,0.143812,0.091279,0.242276,0.139561,0.214661,0.168411
2023/6/13,0.142989,0.093537,0.242997,0.140109,0.212718,0.16765
2023/6/14,0.141412,0.094046,0.245537,0.139967,0.212024,0.167015
2023/6/15,0.142112,0.092516,0.247829,0.139767,0.212229,0.165549
2023/6/16,0.141519,0.093169,0.245201,0.142082,0.211454,0.166575
2023/6/20,0.140052,0.093835,0.247366,0.143179,0.207764,0.167803
2023/6/21,0.141951,0.09058,0.248156,0.140619,0.209024,0.169669
2023/6/26,0.141537,0.089959,0.24878,0.140832,0.207701,0.171191
2023/6/27,0.141591,0.088402,0.250812,0.139801,0.209709,0.169685
2023/6/28,0.141795,0.088685,0.250992,0.139318,0.210519,0.168691
2023/6/29,0.141448,0.088197,0.251623,0.138819,0.210628,0.169285
2023/6/30,0.141337,0.08809,0.253837,0.138277,0.20993,0.168528
2023/7/3,0.142645,0.088302,0.252251,0.137764,0.211232,0.167806
2023/7/5,0.142856,0.095234,0.238104,0.142854,0.214283,0.166668
2023/7/6,0.142238,0.095606,0.237665,0.142822,0.214563,0.167107
2023/7/7,0.142665,0.09474,0.237427,0.14194,0.215784,0.167443
2023/7/10,0.142611,0.09454,0.23652,0.142116,0.21635,0.167863
2023/7/11,0.142824,0.096112,0.236202,0.142444,0.215754,0.166664
2023/7/12,0.143641,0.093698,0.239258,0.140545,0.215492,0.167365
2023/7/13,0.143675,0.094104,0.239622,0.14024,0.215786,0.166574
2023/7/14,0.14414,0.094093,0.239258,0.139907,0.216598,0.166004
2023/7/17,0.143711,0.093098,0.241759,0.139177,0.215464,0.166791
2023/7/18,0.142968,0.092489,0.243871,0.138399,0.214893,0.16738
2023/7/19,0.143257,0.091182,0.243088,0.137428,0.215962,0.169084
2023/7/20,0.144995,0.090521,0.24016,0.137001,0.216948,0.170377
2023/7/21,0.145667,0.089874,0.24018,0.136727,0.217564,0.169987
2023/7/24,0.145243,0.089604,0.240812,0.136173,0.21794,0.170227
2023/7/25,0.147364,0.089647,0.239844,0.136525,0.219314,0.167307
2023/7/26,0.147504,0.089815,0.238826,0.136331,0.219195,0.168329
2023/7/27,0.148838,0.08848,0.23866,0.135269,0.21987,0.168883
2023/7/28,0.151154,0.087735,0.240199,0.134944,0.220308,0.165659
2023/7/31,0.151675,0.087995,0.239055,0.135252,0.221167,0.164856
2023/8/1,0.150915,0.087975,0.238571,0.135391,0.221785,0.165363
2023/8/2,0.149727,0.089202,0.236027,0.13664,0.221261,0.167143
2023/8/3,0.151255,0.089201,0.235722,0.136628,0.221123,0.16607
2023/8/4,0.151677,0.089372,0.234457,0.137292,0.221436,0.165764
2023/8/7,0.142862,0.095234,0.238094,0.142853,0.21429,0.166666
2023/8/8,0.142685,0.095215,0.237284,0.142853,0.214822,0.167141
2023/8/9,0.143866,0.094712,0.235805,0.142594,0.214808,0.168215
2023/8/10,0.143651,0.094789,0.236192,0.142739,0.215032,0.167597
2023/8/11,0.14275,0.093843,0.237226,0.141609,0.214411,0.170161
2023/8/14,0.140978,0.092935,0.240747,0.14046,0.214469,0.17041
2023/8/15,0.142901,0.091492,0.239318,0.139071,0.216243,0.170973
2023/8/16,0.143602,0.09033,0.238961,0.137776,0.216936,0.172394
2023/8/17,0.1427,0.0913,0.237175,0.13918,0.217046,0.172598
2023/8/18,0.143647,0.091197,0.237033,0.138636,0.216715,0.172772
2023/8/21,0.141698,0.090205,0.241695,0.137031,0.215711,0.173661
2023/8/22,0.142266,0.091043,0.23983,0.137429,0.216902,0.172529
2023/8/23,0.142138,0.089005,0.244163,0.1346,0.217056,0.173037
2023/8/24,0.142273,0.0904,0.239878,0.136088,0.216947,0.174414
2023/8/25,0.143619,0.088323,0.242073,0.134226,0.217323,0.174435
2023/8/28,0.144492,0.08819,0.241632,0.134455,0.218223,0.173008
2023/8/29,0.140941,0.090785,0.243564,0.137959,0.215394,0.171357
2023/8/30,0.13875,0.093389,0.243547,0.140511,0.212695,0.171109
2023/8/31,0.138177,0.094612,0.243772,0.140728,0.211001,0.17171
2023/9/1,0.139328,0.093917,0.243272,0.139589,0.212395,0.171499
2023/9/5,0.142855,0.095237,0.238098,0.142854,0.214285,0.16667
2023/9/6,0.143145,0.097747,0.236156,0.143282,0.213716,0.165954
2023/9/7,0.14445,0.094518,0.237307,0.140027,0.215647,0.168052
2023/9/8,0.143829,0.095364,0.237861,0.139968,0.214054,0.168924
2023/9/11,0.14325,0.094729,0.239403,0.140046,0.214487,0.168086
2023/9/12,0.143797,0.094088,0.237393,0.140034,0.21525,0.169438
2023/9/13,0.143966,0.093388,0.238387,0.138389,0.21599,0.16988
2023/9/14,0.144712,0.091675,0.239359,0.136668,0.216778,0.170808
2023/9/15,0.144777,0.093295,0.235992,0.138186,0.217797,0.169953
2023/9/18,0.145383,0.091648,0.23701,0.137496,0.218277,0.170185
2023/9/19,0.146068,0.090964,0.236301,0.136468,0.219425,0.170774
2023/9/20,0.147158,0.090337,0.233742,0.135957,0.220992,0.171815
2023/9/21,0.147476,0.090481,0.231296,0.136251,0.221064,0.173432
2023/9/22,0.147645,0.092199,0.229451,0.138423,0.220732,0.171551
2023/9/25,0.147683,0.091125,0.230547,0.137326,0.220353,0.172967
2023/9/26,0.147938,0.09094,0.228337,0.138258,0.221155,0.173372
2023/9/27,0.147801,0.091039,0.229731,0.139617,0.221601,0.17021
2023/9/28,0.148173,0.092838,0.232038,0.140687,0.221603,0.16466
2023/10/9,0.14286,0.095236,0.238095,0.142856,0.21429,0.166663
2023/10/10,0.142088,0.095492,0.238636,0.141702,0.211684,0.170398
2023/10/11,0.141268,0.096596,0.239323,0.142861,0.21017,0.169782
2023/10/12,0.142281,0.096979,0.237309,0.142836,0.211479,0.169117
2023/10/13,0.142898,0.096863,0.23515,0.142284,0.212008,0.170797
2023/10/16,0.142661,0.094294,0.237753,0.139466,0.212829,0.172997
2023/10/17,0.142578,0.095153,0.235969,0.140035,0.213048,0.173217
2023/10/18,0.143115,0.094641,0.234192,0.139096,0.213368,0.175587
2023/10/19,0.140953,0.096533,0.233742,0.14005,0.210929,0.177793
2023/10/20,0.141521,0.095262,0.23151,0.139782,0.210892,0.181033
2023/10/23,0.141959,0.093551,0.23466,0.137943,0.210009,0.181879
2023/10/24,0.140215,0.094646,0.235449,0.138426,0.210259,0.181004
2023/10/25,0.141174,0.095251,0.230609,0.138763,0.213233,0.180971
2023/10/26,0.142463,0.095501,0.226347,0.13908,0.214359,0.182251
2023/10/27,0.141446,0.096405,0.226435,0.140264,0.213668,0.181782
2023/10/30,0.138843,0.098995,0.228538,0.142246,0.209652,0.181726
2023/10/31,0.139015,0.098972,0.229349,0.141458,0.209691,0.181516
2023/11/1,0.138584,0.098535,0.232928,0.140386,0.20912,0.180446
2023/11/2,0.139005,0.096787,0.236191,0.138544,0.209161,0.180311
2023/11/3,0.137783,0.098816,0.237214,0.140024,0.206802,0.179361
2023/11/6,0.142853,0.095242,0.238095,0.142856,0.214279,0.166675
2023/11/7,0.1425,0.095728,0.239852,0.142686,0.21396,0.165274
2023/11/8,0.141668,0.096711,0.239966,0.143541,0.213662,0.164452
2023/11/9,0.142844,0.095595,0.239021,0.143163,0.215067,0.16431
2023/11/10,0.141373,0.095442,0.243997,0.141931,0.212918,0.164338
2023/11/13,0.140622,0.096124,0.242935,0.142713,0.213648,0.163958
2023/11/14,0.139753,0.096936,0.245796,0.14258,0.211777,0.163157
2023/11/15,0.140115,0.096164,0.245449,0.14209,0.212966,0.163217
2023/11/16,0.140515,0.094954,0.24671,0.140391,0.213807,0.163623
2023/11/17,0.139721,0.095592,0.246603,0.140934,0.21328,0.16387
2023/11/20,0.140105,0.095542,0.248524,0.140981,0.213131,0.161718
2023/11/21,0.140897,0.094547,0.247268,0.140359,0.214572,0.162356
2023/11/22,0.141062,0.093362,0.248874,0.138778,0.215187,0.162736
2023/11/24,0.141332,0.092842,0.24849,0.138251,0.216298,0.162787
2023/11/27,0.140113,0.094431,0.247847,0.138555,0.214944,0.164109
2023/11/28,0.139391,0.094568,0.248209,0.138934,0.21449,0.164407
2023/11/29,0.138513,0.094818,0.248494,0.138333,0.213644,0.166198
2023/11/30,0.138925,0.094927,0.247506,0.138588,0.214134,0.165921
2023/12/1,0.138386,0.094986,0.247693,0.138637,0.214666,0.165633
2023/12/4,0.138242,0.094704,0.245286,0.138198,0.215458,0.168113
2023/12/5,0.142854,0.095237,0.238102,0.142854,0.214286,0.166667
2023/12/6,0.142586,0.095381,0.237074,0.143739,0.214392,0.166829
2023/12/7,0.142383,0.09414,0.239923,0.142979,0.214043,0.166532
2023/12/8,0.141409,0.095696,0.23951,0.145497,0.212293,0.165596
2023/12/11,0.141117,0.096774,0.239805,0.146121,0.213284,0.1629
2023/12/12,0.142232,0.096009,0.241246,0.144634,0.213944,0.161936
2023/12/13,0.141175,0.095176,0.244698,0.143802,0.213154,0.161995
2023/12/14,0.140641,0.09476,0.243807,0.143053,0.212829,0.16491
2023/12/15,0.140604,0.093845,0.245635,0.142384,0.212306,0.165226
2023/12/18,0.141058,0.092663,0.247397,0.141285,0.21233,0.165267
2023/12/19,0.14059,0.093154,0.247913,0.141748,0.211673,0.164923
2023/12/20,0.141077,0.092536,0.245999,0.141001,0.212573,0.166816
2023/12/21,0.140954,0.093036,0.247355,0.142051,0.210984,0.16562
2023/12/22,0.141165,0.091738,0.247478,0.141521,0.21125,0.166849
2023/12/26,0.141716,0.088501,0.249956,0.139232,0.212271,0.168324
