年份,总收益率,年化收益率,年化波动率,夏普比率,最大回撤,Calmar比率,交易日数
2019,0.110755,0.209771,0.080092,2.306984,-0.041747,5.024789,139
2020,0.069640,0.072620,0.179562,0.265201,-0.234455,0.309740,242
2021,0.002147,0.002236,0.089027,-0.255693,-0.057891,0.038630,242
2022,-0.071986,-0.074847,0.117431,-0.850258,-0.136901,-0.546723,242
2023,0.184881,0.193216,0.080681,2.084965,-0.069331,2.786855,242
2024,0.218436,0.227384,0.093994,2.153167,-0.075484,3.012334,243
2025,0.330030,0.345798,0.126886,2.528233,-0.100134,3.453366,242
2026,0.075867,0.119693,0.161415,0.586641,-0.139571,0.857578,163
