code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
000858.XSHE,2054,129.5554,38.7647,30.374,7.1502,True,五粮液,7.1502,0.05
600415.XSHG,2054,63.913,35.9616,35.8758,19.8019,True,小商品城,19.8019,0.05
000869.XSHE,2054,125.1146,41.8418,36.0126,14.1428,True,张裕A,14.1428,0.05
600859.XSHG,2054,466.5044,85.8102,41.3043,10.5218,True,王府井,10.5218,0.05
000792.XSHE,2054,94.5189,39.5464,33.2067,11.3249,True,盐湖股份,11.3249,0.05
600157.XSHG,2054,1341.0137,110.7116,69.6309,-892.3026,True,永泰能源,9.8715,0.05
600125.XSHG,2054,73.7433,31.1233,28.7004,15.2327,True,铁龙物流,15.2327,0.05
600489.XSHG,2054,250.7461,72.672,57.5223,18.287,True,中金黄金,18.287,0.05
000596.XSHE,2054,476.5216,106.3172,63.7331,-6.7578,True,古井贡酒,13.9134,0.05
000568.XSHE,2054,586.4522,75.9655,31.0219,7.8163,True,泸州老窖,7.8163,0.05
600028.XSHG,2054,38.3939,16.0433,13.157,7.3444,True,中国石化,7.3444,0.05
600068.XSHG,2054,354.136,43.2962,25.7296,8.7417,True,葛洲坝,8.7417,0.05
600582.XSHG,2054,117.8446,30.9333,25.7216,7.3129,True,天地科技,7.3129,0.05
600009.XSHG,2054,58.8115,27.2431,23.1388,13.596,True,上海机场,13.596,0.05
000002.XSHE,2054,103.6776,24.2264,16.5391,7.6285,True,万科A,7.6285,0.05
000024.XSHE,2054,107.4789,24.324,16.7336,10.0823,True,招商地产,10.0823,0.05
000069.XSHE,2054,167.8857,37.9038,30.0292,8.8266,True,华侨城A,8.8266,0.05
600694.XSHG,2054,2996.4578,123.9015,33.3039,-452.3775,True,大商股份,9.0319,0.06
600048.XSHG,1676,147.2669,29.706,17.1729,7.6856,True,保利发展,7.6856,0.06
600027.XSHG,2032,264.1982,1.9331,21.8896,-315.0531,True,华电国际,11.1862,0.07
002155.XSHE,1421,894.9113,131.6906,63.9148,17.9318,True,湖南黄金,17.9318,0.07
002128.XSHE,1502,79.5291,27.2482,21.2223,7.9994,True,电投能源,7.9994,0.07
601390.XSHG,1349,160.3041,30.0529,13.1409,6.4826,True,中国中铁,6.4826,0.07
