code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
600219.XSHG,2450,68.7474,20.7662,18.318,8.007,True,南山铝业,8.007,0.04
000768.XSHE,2450,446.2229,118.7391,101.459,58.9815,True,中航西飞,58.9815,0.04
300308.XSHE,2450,2733.8559,-505.3264,49.7652,-23015.1587,True,中际旭创,16.0445,0.04
601336.XSHG,2450,43.0423,16.5156,13.5823,5.6292,True,新华保险,5.6292,0.04
601601.XSHG,2450,30.7429,14.7966,13.2825,6.2245,True,中国太保,6.2245,0.04
601628.XSHG,2450,77.8365,27.4074,24.1821,9.2062,True,中国人寿,9.2062,0.04
601688.XSHG,2450,40.3934,16.0827,13.4229,8.6679,True,华泰证券,8.6679,0.04
601600.XSHG,2450,361.003,71.5299,39.763,-33.8822,True,中国铝业,8.9236,0.05
601319.XSHG,1548,39.7362,13.0095,11.2054,6.6745,True,中国人保,6.6745,0.06
300760.XSHE,1571,94.3442,47.6622,43.6642,20.7138,True,迈瑞医疗,20.7138,0.06
300832.XSHE,1190,108.229,41.1817,35.068,23.0552,True,新产业,23.0552,0.08
002475.XSHE,2450,82.4913,38.4849,37.5508,17.9612,True,立讯精密,18.2596,0.2
688082.XSHG,819,268.0885,84.4399,57.5298,35.3305,True,盛美上海,35.4353,0.24
603993.XSHG,2450,139.6059,45.4951,39.9738,10.0943,True,洛阳钼业,10.3429,0.29
300979.XSHE,956,65.5228,26.8546,21.9511,14.7276,True,华利集团,15.1962,0.42
600233.XSHG,2450,2593.1411,51.7602,23.2221,9.8915,True,圆通速递,10.6495,0.49
688187.XSHG,864,57.1924,28.0068,23.8947,14.9235,True,时代电气,15.4036,0.58
002352.XSHE,2450,10040.6324,152.8275,43.6458,18.9926,True,顺丰控股,19.6506,0.61
601669.XSHG,2450,36.4817,12.6626,11.123,6.0266,True,中国电建,6.3562,0.65
300628.XSHE,1956,67.3534,34.8577,34.0733,15.0839,True,亿联网络,16.6454,0.87
000596.XSHE,2450,77.6544,35.2704,31.0678,13.808,True,古井贡酒,15.7058,0.94
002311.XSHE,2450,107.4182,36.8492,31.3411,15.2675,True,海大集团,17.6855,1.27
600436.XSHG,2450,155.7291,64.0006,56.0973,37.5054,True,片仔癀,40.4707,1.43
603195.XSHG,1254,72.296,33.652,30.5051,18.605,True,公牛集团,20.3321,1.44
600489.XSHG,2450,428.3895,36.9414,74.1223,-1753.004,True,中金黄金,17.0736,1.59
