code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
601688.XSHG,2448,38.7265,15.0797,12.716,7.9733,True,华泰证券,8.0613,0.08
002736.XSHE,2448,35.7861,16.9723,15.7666,8.7146,True,国信证券,8.7937,0.12
601318.XSHG,2448,19.9401,10.1674,9.7455,6.0637,True,中国平安,6.066,0.12
000166.XSHE,2448,52.7346,21.623,21.3126,9.9899,True,申万宏源,10.0585,0.12
600600.XSHG,2448,78.4829,35.1372,35.8019,14.7924,True,青岛啤酒,14.8344,0.12
600958.XSHG,2448,76.6453,26.9528,25.5754,11.102,True,东方证券,11.2163,0.16
601336.XSHG,2448,43.0423,14.7839,11.322,4.0462,True,新华保险,4.099,0.16
600030.XSHG,2448,35.9478,18.542,17.6427,10.307,True,中信证券,10.4567,0.16
601628.XSHG,2448,77.8365,25.4097,23.2743,4.2402,True,中国人寿,4.3144,0.16
000776.XSHE,2448,30.0049,14.6656,14.5063,8.2958,True,广发证券,8.6148,0.2
601878.XSHG,2246,66.531,29.7835,25.7106,14.1679,True,浙商证券,14.3257,0.22
605499.XSHG,1292,113.9678,44.2446,41.3051,16.5831,True,东鹏饮料,16.6879,0.23
600999.XSHG,2448,28.7616,16.6317,15.8226,8.4189,True,招商证券,8.5997,0.25
601901.XSHG,2448,119.295,39.6687,34.725,12.2295,True,方正证券,12.3744,0.29
601117.XSHG,2448,24.4084,12.1837,10.4426,6.5177,True,中国化学,6.7747,0.33
601456.XSHG,1490,246.9302,61.7879,44.3854,21.2419,True,国联民生,21.415,0.34
601995.XSHG,1430,60.6521,26.4949,24.9845,11.238,True,中金公司,11.238,0.35
601319.XSHG,1904,39.7362,11.9692,10.1062,5.7943,True,中国人保,6.0821,0.37
603288.XSHG,2448,114.3995,49.7661,45.3946,26.076,True,海天味业,27.0676,0.41
300059.XSHE,2448,119.787,53.2556,50.8304,19.3666,True,东方财富,19.933,0.45
601136.XSHG,908,140.3244,64.0952,59.0888,30.9139,True,首创证券,31.3776,0.55
000999.XSHE,2448,26.2481,17.5094,17.4165,11.278,True,华润三九,11.9869,0.57
002074.XSHE,2448,959.8927,106.8015,32.3623,-331.1466,True,国轩高科,13.941,0.59
600989.XSHG,1786,36.8716,18.0454,17.5871,10.8899,True,宝丰能源,11.2623,0.62
002352.XSHE,2448,10040.6324,129.1609,37.2697,14.2239,True,顺丰控股,14.8938,0.65
601066.XSHG,2005,77.1707,29.0002,25.2377,12.7005,True,中信建投,14.5754,0.7
600150.XSHG,2448,914.2598,92.2396,48.9098,-359.2289,True,中国船舶,21.1796,0.76
600918.XSHG,1530,128.2427,38.9747,31.586,15.3092,True,中泰证券,17.4299,0.92
601816.XSHG,1619,429.3812,74.1383,32.5365,16.601,True,京沪高铁,17.054,0.99
601788.XSHG,2448,647.0632,41.1838,23.1039,11.7215,True,光大证券,15.0513,1.23
601601.XSHG,2448,30.578,13.268,11.0081,5.0725,True,中国太保,5.4725,1.31
600276.XSHG,2448,104.7897,62.9476,61.6804,33.333,True,恒瑞医药,37.72,1.31
002558.XSHE,2448,550.8187,46.4557,33.9637,14.1147,True,巨人网络,15.202,1.39
600066.XSHG,2448,64.8631,22.0953,15.3989,8.8463,True,宇通客车,10.4959,1.47
688111.XSHG,1661,432.8764,132.7546,106.4238,25.5776,True,金山办公,28.7669,1.51
600741.XSHG,2448,24.0267,10.2189,9.429,5.9535,True,华域汽车,6.7443,1.55
600196.XSHG,2448,60.8045,26.9656,25.6149,15.8282,True,复星医药,17.3535,1.63
600519.XSHG,2448,73.2944,33.0744,31.885,17.6616,True,贵州茅台,19.2979,1.72
002920.XSHE,2120,147.8079,55.906,47.1506,16.9691,True,德赛西威,20.4258,1.79
603799.XSHG,2448,585.5007,37.0314,22.0139,-203.0654,True,华友钴业,9.8092,1.82
601877.XSHG,2448,25.6133,15.5506,15.1474,9.892,True,正泰电器,10.7053,2.0
300999.XSHE,1442,112.164,66.002,64.5198,34.5193,True,金龙鱼,36.7151,2.01
600809.XSHG,2448,147.8548,41.822,37.5195,11.6738,True,山西汾酒,13.5051,2.04
000807.XSHE,2448,204.1805,25.8792,14.1407,-13.2984,True,云铝股份,8.652,2.4
301308.XSHE,1001,663.6163,-78.3701,30.6489,-1423.4957,True,江波龙,13.3064,2.54
600547.XSHG,2448,206.6522,45.22,48.4496,-538.833,True,山东黄金,27.5955,2.75
300124.XSHE,2448,108.8034,45.1986,40.8619,22.235,True,汇川技术,29.0556,2.98
600233.XSHG,2448,2593.1411,40.5512,18.4288,9.8915,True,圆通速递,11.0791,2.98
000963.XSHE,2448,39.7427,23.777,22.9169,10.5791,True,华东医药,13.228,3.02
601600.XSHG,2448,333.2981,59.6944,35.1378,8.0086,True,中国铝业,9.1786,3.1
600436.XSHG,2448,155.7291,62.7148,54.8735,34.2518,True,片仔癀,39.4509,3.15
601018.XSHG,2448,38.5655,18.4358,15.9421,11.8687,True,宁波港,13.0115,3.27
000538.XSHE,2448,42.283,27.3579,26.9067,15.9547,True,云南白药,17.4437,3.31
601211.XSHG,2448,28.3283,14.7486,14.014,8.3944,True,国泰海通,9.5161,3.31
300750.XSHE,2011,216.1768,59.4421,37.9858,13.982,True,宁德时代,16.4375,3.38
601766.XSHG,2448,34.5545,18.1131,16.1972,11.0492,True,中国中车,12.365,3.43
002602.XSHE,2448,178.812,42.6697,38.837,-8.8443,True,世纪华通,14.5307,3.76
001280.XSHE,195,122.002,89.2716,84.9711,68.1319,True,中国铀业,70.6419,4.1
300896.XSHE,1449,336.7605,86.562,52.1046,20.1102,True,爱美客,24.7257,4.14
300832.XSHE,1546,108.229,37.4695,32.2152,19.078,True,新产业,22.397,4.14
600690.XSHG,2448,46.2352,16.0656,14.4854,9.6894,True,海尔智家,10.7865,4.17
000975.XSHE,2448,82.9465,34.1525,29.775,12.6708,True,山金国际,18.6497,4.41
601899.XSHG,2448,87.7427,24.5093,20.4366,9.0951,True,紫金矿业,12.3451,4.74
002415.XSHE,2448,50.3222,26.6959,24.5307,16.6566,True,海康威视,18.3702,4.78
601881.XSHG,2346,51.9801,18.4715,16.7068,8.4339,True,中国银河,9.5515,4.86
300014.XSHE,2448,164.2022,46.9474,39.3996,15.3532,True,亿纬锂能,19.2192,4.98
300442.XSHE,2448,590.1948,18.0405,26.6752,-1276.0466,True,润泽科技,19.3365,4.98
600061.XSHG,2448,39.919,17.7077,16.3001,8.1241,True,国投资本,10.5459,5.27
601059.XSHG,885,58.233,35.3825,35.2378,22.3697,True,信达证券,25.6552,5.65
603369.XSHG,2448,56.4367,24.7446,23.4013,11.1142,True,今世缘,14.0836,5.76
600489.XSHG,2448,365.6455,81.5261,27.369,13.8723,True,中金黄金,17.6752,5.84
002532.XSHE,2448,254.297,24.0537,17.8472,7.1501,True,天山铝业,8.5795,6.33
603893.XSHG,1609,588.9738,122.2588,100.5452,30.3739,True,瑞芯微,58.7894,6.71
300015.XSHE,2448,221.638,75.9462,71.5499,22.1304,True,爱尔眼科,29.3632,6.94
600406.XSHG,2448,51.3976,26.8459,25.9667,19.0436,True,国电南瑞,21.0847,7.31
