code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
300751.XSHE,1427,179.6828,66.3567,55.7511,20.3265,True,迈为股份,21.1261,0.14
002371.XSHE,2450,506.5517,159.8967,147.7854,30.9851,True,北方华创,32.2109,0.24
002311.XSHE,2450,107.4182,37.2565,31.3411,15.2675,True,海大集团,16.1289,0.29
000596.XSHE,2450,77.6544,35.6413,31.0996,13.808,True,古井贡酒,14.9472,0.29
600085.XSHG,2450,74.5608,43.0601,43.8452,25.1302,True,同仁堂,26.4749,0.33
601865.XSHG,1364,85.9374,40.2569,39.5573,10.942,True,福莱特,11.5549,0.37
002007.XSHE,2450,102.4963,39.9769,37.3023,18.142,True,华兰生物,19.2956,0.37
600809.XSHG,2450,147.8548,50.7502,44.316,14.9244,True,山西汾酒,16.6674,0.45
300760.XSHE,1445,94.3442,49.6405,45.2521,21.2247,True,迈瑞医疗,22.2452,0.48
601888.XSHG,2450,208.0678,47.2,36.4633,18.1409,True,中国中免,19.3422,0.57
300316.XSHE,2450,337.923,69.284,51.486,6.3007,True,晶盛机电,6.7541,0.61
601800.XSHG,2450,27.219,9.9479,8.6565,4.8882,True,中国交建,5.2104,0.65
603993.XSHG,2450,139.6059,46.2721,39.9738,10.8797,True,洛阳钼业,12.7958,0.82
300015.XSHE,2450,221.638,84.5479,78.1562,23.0376,True,爱尔眼科,25.4599,0.82
600150.XSHG,2450,1760.4941,166.7845,92.9318,-29292.1385,True,中国船舶,41.0615,0.88
600600.XSHG,2450,78.4829,36.4692,36.0025,16.4171,True,青岛啤酒,18.0905,0.9
601390.XSHG,2450,46.2801,10.2839,7.4679,3.9417,True,中国中铁,4.2165,0.9
603369.XSHG,2450,56.4367,26.4123,24.6272,12.5854,True,今世缘,14.0812,0.9
600875.XSHG,2450,83.3321,14.0191,21.7692,-329.3832,True,东方电气,12.6732,1.02
002304.XSHE,2450,53.5411,23.1644,21.0507,10.762,True,洋河股份,11.4839,1.1
600845.XSHG,2450,97.5813,49.3397,46.7991,28.5524,True,宝信软件,30.5628,1.1
603899.XSHG,2350,78.0518,39.6271,38.1204,15.0165,True,晨光股份,16.0679,1.11
600132.XSHG,2450,416.8667,60.5344,47.3238,-183.6727,True,重庆啤酒,19.5862,1.21
300759.XSHE,1373,155.2247,69.3785,66.5656,17.9536,True,康龙化成,19.9649,1.24
603195.XSHG,1128,72.296,34.9655,31.2922,18.605,True,公牛集团,20.3506,1.33
300014.XSHE,2450,182.9966,58.2685,51.5771,15.3532,True,亿纬锂能,17.13,1.35
