code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
601318.XSHG,2447,19.9401,10.1603,9.7316,6.0523,True,中国平安,6.0523,0.04
600600.XSHG,2447,78.4829,35.1284,35.8058,14.7841,True,青岛啤酒,14.7841,0.04
600958.XSHG,2447,76.6453,26.9049,25.522,11.0639,True,东方证券,11.0639,0.04
601901.XSHG,2447,119.295,39.6669,34.725,12.2114,True,方正证券,12.2114,0.04
600989.XSHG,1790,36.8716,18.0296,17.5791,10.6607,True,宝丰能源,10.6607,0.06
601456.XSHG,1494,246.9302,61.6797,44.3247,21.0935,True,国联民生,21.0935,0.07
601995.XSHG,1434,60.6521,26.4524,24.964,10.9624,True,中金公司,10.9624,0.07
601688.XSHG,2447,38.7265,15.0559,12.7065,7.9733,True,华泰证券,7.9865,0.08
600030.XSHG,2447,35.9478,18.5339,17.6453,10.307,True,中信证券,10.3582,0.08
000166.XSHE,2447,52.7346,21.61,21.3126,9.9899,True,申万宏源,10.0356,0.08
605499.XSHG,1296,113.9678,44.1604,41.2676,16.5816,True,东鹏饮料,16.5816,0.08
601628.XSHG,2447,77.8365,25.3728,23.2737,4.2402,True,中国人寿,4.2722,0.12
601336.XSHG,2447,43.0423,14.7568,11.3002,4.0462,True,新华保险,4.0567,0.12
002352.XSHE,2447,10040.6324,128.3702,37.2121,14.2239,True,顺丰控股,14.3282,0.12
601878.XSHG,2250,66.531,29.7561,25.7105,14.1679,True,浙商证券,14.231,0.13
002736.XSHE,2447,35.7861,16.9525,15.706,8.7146,True,国信证券,8.8116,0.16
000776.XSHE,2447,30.0049,14.6643,14.5072,8.2958,True,广发证券,8.4408,0.16
600999.XSHG,2447,28.7616,16.6297,15.8256,8.4189,True,招商证券,8.5264,0.2
002558.XSHE,2447,550.8187,46.1235,33.8781,14.1147,True,巨人网络,14.3801,0.2
601601.XSHG,2447,30.578,13.2496,10.9606,5.0725,True,中国太保,5.2678,0.29
000999.XSHE,2447,26.2481,17.4945,17.4035,11.278,True,华润三九,11.8803,0.29
300059.XSHE,2447,119.787,53.1836,50.7611,19.3666,True,东方财富,19.8354,0.37
600150.XSHG,2447,914.2598,91.0531,48.6921,-359.2289,True,中国船舶,20.4391,0.44
601816.XSHG,1623,429.3812,73.9974,32.4406,16.601,True,京沪高铁,16.8386,0.49
001280.XSHE,199,122.002,88.8756,84.5154,67.9403,True,中国铀业,67.9403,0.5
601066.XSHG,2009,77.1707,28.9715,25.233,12.7005,True,中信建投,14.4397,0.55
601136.XSHG,912,140.3244,63.9539,59.0267,30.9139,True,首创证券,31.3335,0.55
601117.XSHG,2447,24.4084,12.1783,10.4196,6.5177,True,中国化学,6.803,0.57
601788.XSHG,2447,647.0632,41.2011,23.104,11.7215,True,光大证券,14.8678,0.65
603288.XSHG,2447,114.3995,49.7657,45.4123,26.076,True,海天味业,27.1316,0.69
301308.XSHE,1005,663.6163,-78.0057,30.2239,-1423.4957,True,江波龙,12.7239,0.72
002074.XSHE,2447,959.8927,106.7948,32.2705,-331.1466,True,国轩高科,14.2717,0.81
600741.XSHG,2447,24.0267,10.2131,9.4233,5.9535,True,华域汽车,6.6627,0.82
600918.XSHG,1534,128.2427,38.919,31.5837,15.3092,True,中泰证券,17.3339,0.91
000807.XSHE,2447,204.1805,25.5089,14.109,-13.2984,True,云铝股份,8.2284,0.91
601319.XSHG,1908,39.7362,11.9573,10.1021,5.7943,True,中国人保,6.2765,0.94
300999.XSHE,1446,112.164,65.9206,64.4169,34.5193,True,金龙鱼,36.0542,0.97
002920.XSHE,2124,147.8079,55.8388,47.1089,16.9691,True,德赛西威,19.9799,1.04
600489.XSHG,2447,354.5572,80.8482,27.2081,13.8723,True,中金黄金,16.2567,1.1
600519.XSHG,2447,73.2944,33.0705,31.907,17.6616,True,贵州茅台,18.989,1.23
688111.XSHG,1665,432.8764,132.5055,106.0814,25.5776,True,金山办公,28.5636,1.26
601877.XSHG,2447,25.6133,15.5423,15.139,9.892,True,正泰电器,10.5527,1.27
600547.XSHG,2447,206.6522,45.1403,48.3843,-538.833,True,山东黄金,24.4797,1.44
000975.XSHE,2447,82.9465,34.0583,29.7257,12.6708,True,山金国际,16.939,1.47
600066.XSHG,2447,64.8631,22.095,15.4237,8.8463,True,宇通客车,10.4959,1.59
600809.XSHG,2447,147.8548,41.7983,37.5204,11.6738,True,山西汾酒,13.323,1.63
603799.XSHG,2447,585.5007,37.1975,22.0181,-203.0654,True,华友钴业,9.7105,1.68
601600.XSHG,2447,303.8068,59.0993,35.0402,8.0086,True,中国铝业,8.7172,1.72
600233.XSHG,2447,2593.1411,40.2709,18.4035,9.8915,True,圆通速递,10.8312,1.88
000538.XSHE,2447,42.283,27.3455,26.9119,15.9547,True,云南白药,17.0405,1.88
600276.XSHG,2447,104.7897,62.9453,61.6804,33.333,True,恒瑞医药,38.5361,2.0
601211.XSHG,2447,28.3283,14.7443,14.014,8.3944,True,国泰海通,9.3584,2.17
002602.XSHE,2447,178.812,42.6026,38.6978,-8.8443,True,世纪华通,14.0756,2.22
300750.XSHE,2015,216.1768,59.3565,37.9118,13.982,True,宁德时代,15.9776,2.43
300832.XSHE,1550,108.229,37.4304,32.2022,19.078,True,新产业,21.8432,2.52
300014.XSHE,2447,164.2022,46.7998,39.3477,15.3532,True,亿纬锂能,18.2314,2.53
600436.XSHG,2447,155.7291,62.6909,54.8498,34.2518,True,片仔癀,39.1475,2.66
600690.XSHG,2447,46.2352,16.0629,14.4859,9.6894,True,海尔智家,10.5048,2.7
300124.XSHE,2447,108.8034,45.192,40.8638,22.235,True,汇川技术,28.7424,2.82
000963.XSHE,2447,39.7427,23.7553,22.8009,10.5791,True,华东医药,13.2078,2.9
601018.XSHG,2447,38.5655,18.4086,15.9325,11.8687,True,宁波港,12.9354,2.94
601899.XSHG,2447,85.6208,24.3619,20.3999,9.0951,True,紫金矿业,11.7949,3.02
601766.XSHG,2447,34.5545,18.0969,16.1941,11.0492,True,中国中车,12.3031,3.35
603369.XSHG,2447,56.4367,24.7305,23.4096,11.1142,True,今世缘,13.6623,3.68
600196.XSHG,2447,60.8045,26.9658,25.6149,15.8282,True,复星医药,17.9916,3.88
600415.XSHG,2447,43.572,24.0807,23.8887,11.365,True,小商品城,13.2334,4.13
002415.XSHE,2447,50.3222,26.6852,24.4924,16.6566,True,海康威视,18.1973,4.25
002532.XSHE,2447,254.297,23.9987,17.8112,7.1501,True,天山铝业,8.1107,4.33
601881.XSHG,2350,51.9801,18.4563,16.6983,8.4339,True,中国银河,9.3776,4.34
600061.XSHG,2447,39.919,17.7022,16.2972,8.1241,True,国投资本,10.4781,4.58
001391.XSHE,423,69.279,32.9939,29.7418,19.9546,True,国货航,20.67,4.96
688256.XSHG,1503,4463.553,105.7053,-49.3058,-746.0043,True,寒武纪,205.9933,5.7
300896.XSHE,1453,336.7605,86.3946,51.9715,20.1102,True,爱美客,25.4968,5.99
601059.XSHG,889,58.233,35.3388,35.2253,22.3697,True,信达证券,25.6552,6.07
300015.XSHE,2447,221.638,75.8796,71.5018,22.1304,True,爱尔眼科,28.8885,6.13
300760.XSHE,1931,94.3442,43.5635,40.1283,20.7138,True,迈瑞医疗,23.7096,6.94
600570.XSHG,2447,1470.9349,-1.4282,57.1581,-2789.6087,True,恒生电子,30.6655,6.96
601021.XSHG,2447,78.6171,-110.3714,22.2937,-2281.22,True,春秋航空,17.7936,7.09
000768.XSHE,2447,175.9121,92.5263,88.4256,48.9805,True,中航西飞,64.5461,7.15
603993.XSHG,2447,139.6059,37.6434,28.0251,9.7709,True,洛阳钼业,13.1351,8.75
688009.XSHG,1744,39.022,16.811,16.2827,11.9184,True,中国通号,13.883,8.94
300442.XSHE,2447,590.1948,17.8314,26.5808,-1276.0466,True,润泽科技,20.7786,8.99
000708.XSHE,2447,94.4961,15.6874,12.8921,7.8869,True,中信特钢,10.6546,9.03
600406.XSHG,2447,51.3976,26.8368,25.9542,19.0436,True,国电南瑞,21.2951,9.11
600011.XSHG,2447,196.2544,26.2257,13.5483,-41.6533,True,华能国际,9.0174,9.45
601888.XSHG,2447,208.0678,48.0183,38.0626,18.1409,True,中国中免,26.1244,9.64
603501.XSHG,2285,11818.4996,485.2968,59.4544,-168.8218,True,豪威集团,31.6266,9.74
603986.XSHG,2447,302.7613,97.9602,95.5603,17.8347,True,兆易创新,34.0714,9.85
600346.XSHG,2447,158.65,15.7861,15.9613,-152.3205,True,恒力石化,10.1228,11.35
002709.XSHE,2447,894.0472,89.4412,44.2079,10.3033,True,天赐材料,16.3705,11.77
002001.XSHE,2447,44.9591,18.28,17.9772,8.8757,True,新和成,11.0138,11.93
601377.XSHG,2447,390.8715,26.9367,20.2285,8.7678,True,兴业证券,13.8148,12.18
688271.XSHG,994,114.7294,67.7019,64.6557,38.5006,True,联影医疗,47.7312,12.27
000977.XSHE,2447,167.2941,45.6079,39.2332,12.8442,True,浪潮信息,22.4809,12.42
000301.XSHE,2447,296.5549,37.2603,34.6116,-146.0595,True,东方盛虹,20.7941,12.44
002236.XSHE,2447,39.0781,18.9059,17.3846,5.7757,True,大华股份,13.4927,13.24
300628.XSHE,2316,67.3534,32.1403,30.4047,15.0839,True,亿联网络,17.9883,13.51
000895.XSHE,2447,35.5831,18.7668,17.7868,13.8739,True,双汇发展,15.7874,13.69
000568.XSHE,2447,81.2277,29.0648,28.6555,10.3801,True,泸州老窖,13.8523,13.69
002475.XSHE,2447,82.4913,35.4616,32.7569,15.7662,True,立讯精密,22.6143,14.34
002648.XSHE,2447,47.4092,11.5479,13.7998,-98.483,True,卫星化学,10.2052,15.11
002049.XSHE,2447,179.0239,63.2855,57.7855,15.6859,True,紫光国微,33.1195,15.45
603893.XSHG,1613,588.9738,122.1202,100.2805,30.3739,True,瑞芯微,67.7637,15.81
002460.XSHE,2447,798.7547,64.5133,28.1995,-119.3449,True,赣锋锂业,14.3068,17.46
600660.XSHG,2447,70.3355,22.8458,19.6232,12.1631,True,福耀玻璃,16.1518,17.61
600887.XSHG,2447,42.9087,23.4738,23.5908,11.1211,True,伊利股份,16.8079,18.27
002241.XSHE,2447,681.2452,41.6119,34.0483,-59.9459,True,歌尔股份,21.3521,18.42
