code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
600188.XSHG,2446,276.172,29.0992,16.3035,-31.8727,True,兖矿能源,4.557,0.04
002146.XSHE,2446,37.2012,11.4574,10.8512,4.067,True,荣盛发展,4.067,0.04
601601.XSHG,2446,159.2467,24.7066,20.3145,10.5367,True,中国太保,10.5367,0.04
600038.XSHG,2446,151.3283,68.8612,62.826,38.7266,True,中直股份,38.7266,0.04
002024.XSHE,2446,268.4747,45.5783,24.5572,-100.5164,True,ST易购,4.4835,0.04
002010.XSHE,2446,249.3719,54.0211,29.4227,16.7634,True,传化智联,16.7634,0.04
600068.XSHG,2446,38.0069,14.3355,12.7124,5.1419,True,葛洲坝,5.1419,0.04
000963.XSHE,2446,43.0168,30.5499,31.1206,12.5966,True,华东医药,12.5966,0.04
600170.XSHG,2446,46.5065,16.2524,13.4221,7.3364,True,上海建工,7.3364,0.04
600340.XSHG,2446,16056.8497,229.7855,12.8281,-90.8922,True,*ST华幸,5.2591,0.04
300017.XSHE,2446,120.2144,49.5204,45.9921,18.6182,True,网宿科技,18.6182,0.04
600406.XSHG,2446,129.2295,39.1716,28.6386,19.0436,True,国电南瑞,19.0436,0.04
600398.XSHG,2446,397.9571,31.0846,20.8339,8.6014,True,海澜之家,8.6014,0.04
000069.XSHE,2446,53.0409,12.3003,11.4914,4.545,True,华侨城A,4.545,0.04
601618.XSHG,2446,52.1015,14.8709,15.0059,-7.4431,True,中国中冶,7.5519,0.05
600606.XSHG,2446,1406.7271,55.2338,13.8464,-752.999,True,绿地控股,4.7846,0.05
000413.XSHE,2446,4783.814,211.1886,34.7156,-397.0,True,ST旭电,7.9453,0.05
601336.XSHG,1973,46.8327,23.45,21.4187,10.2813,True,新华保险,10.2813,0.05
601318.XSHG,2446,47.3163,15.423,13.1952,8.7322,True,中国平安,9.0152,0.08
600655.XSHG,2446,54.7849,22.1154,21.4173,8.4781,True,豫园股份,8.4932,0.08
600153.XSHG,2446,29.5934,10.4067,9.2612,4.5204,True,建发股份,4.5738,0.08
601985.XSHG,1131,73.2911,26.1079,25.4022,14.9219,True,中国核电,14.9219,0.09
601997.XSHG,840,14.658,7.474,6.6935,4.5061,True,贵阳银行,4.5061,0.12
600919.XSHG,850,16.2703,7.8362,6.9626,5.133,True,江苏银行,5.133,0.12
601229.XSHG,781,12.9656,8.095,7.6126,5.8441,True,上海银行,5.8441,0.13
600025.XSHG,515,82.6493,26.5545,21.7037,8.0995,True,华能水电,8.0995,0.19
603156.XSHG,475,25.3758,14.0219,13.5245,9.6216,True,养元饮品,9.6216,0.21
601838.XSHG,483,14.9979,7.3315,6.7754,5.1604,True,成都银行,5.1604,0.21
000656.XSHE,2446,908.8197,-39.7218,15.6013,-3577.562,True,金科股份,6.05,0.29
601577.XSHG,324,10.4282,7.0234,6.8201,5.2735,True,长沙银行,5.2735,0.31
601021.XSHG,1224,58.5479,28.8829,26.464,13.7906,True,春秋航空,17.8603,0.33
601319.XSHG,292,39.7362,22.322,20.6439,12.7217,True,中国人保,12.7217,0.34
601108.XSHG,553,53.9867,36.1696,35.6686,18.7719,True,财通证券,18.7924,0.36
601298.XSHG,248,21.0756,14.4067,13.8432,10.3676,True,青岛港,10.3676,0.4
600016.XSHG,2446,18.6363,6.9195,6.492,4.6095,True,民生银行,4.6853,0.45
600928.XSHG,224,26.4245,14.9424,13.4669,10.2679,True,西安银行,10.2679,0.45
002958.XSHE,207,23.9998,15.0286,14.0582,10.4621,True,青农商行,10.4621,0.48
600989.XSHG,174,31.6911,19.2167,17.7116,14.4705,True,宝丰能源,14.4705,0.57
002081.XSHE,2446,78.7365,24.9042,18.6757,8.7564,True,金螳螂,9.1578,0.65
600968.XSHG,146,43.2514,27.4946,27.3276,19.5004,True,海油发展,19.5004,0.68
600390.XSHG,2446,1328.2627,-65.6933,-16.6142,-2340.2012,True,五矿资本,9.9941,0.74
000671.XSHE,2446,60.6705,16.2162,16.5532,5.3803,True,ST阳光城,6.5485,0.94
002841.XSHE,736,56.1781,43.8787,44.0525,17.8708,True,视源股份,31.1867,0.95
601212.XSHG,722,3727.296,357.4481,181.0254,-163.1554,True,白银有色,79.1483,1.17
601216.XSHG,2176,93.5577,26.461,23.1669,8.5331,True,君正集团,9.4214,1.33
000629.XSHE,2446,138.2369,29.3106,23.7802,-102.2841,True,钒钛股份,8.2649,1.64
600926.XSHG,795,19.3623,9.9883,8.8489,6.7977,True,杭州银行,6.8829,1.64
600522.XSHG,2446,50.1519,19.7601,18.5361,11.0877,True,中天科技,11.8886,1.92
600566.XSHG,2446,236.682,48.4171,30.5906,-554.9981,True,济川药业,11.6821,2.06
600352.XSHG,2446,32.9425,15.3366,14.7251,7.3581,True,浙江龙盛,8.1283,2.29
601169.XSHG,2446,21.1017,7.7424,7.305,4.733,True,北京银行,5.0345,2.45
600663.XSHG,2446,107.2181,30.7121,27.6068,10.804,True,陆家嘴,12.6949,2.82
600482.XSHG,2446,331.7121,79.643,51.9497,-21.0265,True,中国动力,27.783,4.01
601766.XSHG,2446,160.1455,27.7697,21.7712,12.2949,True,中国中车,14.3138,4.13
601006.XSHG,2446,24.3254,10.6443,9.5394,6.7904,True,大秦铁路,7.5453,4.29
002352.XSHE,2424,10040.6324,158.0402,49.7441,26.0698,True,顺丰控股,28.9792,4.79
002294.XSHE,2446,102.5959,29.0871,25.4089,13.7355,True,信立泰,17.0398,5.19
600089.XSHG,2446,37.1201,18.5804,17.8935,10.4285,True,特变电工,11.9566,5.27
600346.XSHG,2446,29150.2595,1658.0624,19.5202,-229.0309,True,恒力石化,16.6666,5.52
600010.XSHG,2446,1175.5512,89.9717,36.8256,-694.1621,True,包钢股份,23.3221,5.6
601009.XSHG,2446,23.423,8.4145,7.6038,4.8665,True,南京银行,5.2108,6.01
601155.XSHG,968,24.5637,10.9476,11.5026,5.1519,True,新城控股,6.22,6.2
601186.XSHG,2446,29.4645,10.9127,9.3859,4.5719,True,中国铁建,5.7641,6.38
600535.XSHG,2446,61.0095,34.1754,34.2548,13.7198,True,天士力,17.5989,6.46
601390.XSHG,2446,46.2801,12.698,10.5358,5.2915,True,中国中铁,6.2582,6.54
000768.XSHE,2446,446.2229,128.4853,101.7638,49.3518,True,中航西飞,62.0282,6.54
600438.XSHG,2446,84.0542,34.8905,32.194,9.1445,True,通威股份,18.1804,6.95
600760.XSHG,2446,9349.1614,226.3148,32.6002,-797.2831,True,中航沈飞,34.7817,7.46
600705.XSHG,2446,1916.8781,144.031,27.0205,1.3704,True,中航产融,11.9672,7.89
601088.XSHG,2446,24.8656,11.9141,11.2136,5.7079,True,中国神华,6.9583,7.93
000938.XSHE,2446,451.7445,77.9275,55.9448,27.6198,True,紫光股份,34.0759,8.09
002468.XSHE,2281,26865.3987,1108.8192,55.141,-171.8802,True,申通快递,16.9605,8.21
600297.XSHG,2446,2694.2846,32.8614,26.0876,-1387.348,True,广汇汽车,11.526,8.37
600177.XSHG,2446,103.5846,-28.5143,8.7546,-860.152,True,雅戈尔,7.1811,8.58
601881.XSHG,734,51.9801,26.4951,24.6929,10.111,True,中国银河,20.0051,8.72
601225.XSHG,1463,1998.4958,58.3391,8.0448,-424.1433,True,陕西煤业,7.1351,8.86
600085.XSHG,2446,74.5608,44.6465,44.7614,30.8948,True,同仁堂,34.2067,8.95
600998.XSHG,2250,98.2609,41.9048,42.4395,15.208,True,九州通,20.2103,9.11
300122.XSHE,2270,1124.8736,161.1047,99.4561,32.8389,True,智飞生物,44.3893,9.34
601668.XSHG,2446,34.9929,8.7882,7.4222,3.8871,True,中国建筑,5.1287,9.36
000709.XSHE,2446,230.8817,16.4805,22.0211,-200.422,True,河钢股份,11.3031,9.43
600048.XSHG,2446,27.423,9.8624,9.1294,4.361,True,保利发展,6.2787,9.53
600372.XSHG,2446,274.4596,80.9044,67.5384,-16.0058,True,中航机载,45.6368,9.98
600867.XSHG,2446,200.4759,62.1951,56.0337,12.5317,True,通化东宝,26.518,10.06
000627.XSHE,2446,3756.3087,147.5725,29.5504,-175.0594,True,*ST天茂,21.6477,10.24
600031.XSHG,2446,5591.0054,72.9579,17.7293,-1233.7169,True,三一重工,11.6952,10.3
601328.XSHG,2446,15.861,6.7134,6.301,4.2953,True,交通银行,4.9623,10.34
000723.XSHE,2446,1872.3933,103.4763,29.951,-822.7781,True,美锦能源,19.9371,10.56
601992.XSHG,2171,39.3152,15.245,13.5617,7.1394,True,金隅集团,8.4353,10.59
002236.XSHE,2446,68.8494,35.5389,34.8405,12.9741,True,大华股份,19.1603,10.59
600109.XSHG,2446,123.6145,42.3564,30.1644,15.3505,True,国金证券,20.4188,10.63
000961.XSHE,2446,151.6965,30.0631,16.5268,5.9612,True,ST中南,9.7688,10.96
002120.XSHE,2446,718.5711,53.6337,39.7161,14.3817,True,韵达股份,24.0839,11.28
600585.XSHG,2446,31.8376,11.9858,10.979,5.59,True,海螺水泥,7.2179,11.61
600018.XSHG,2446,35.8148,18.0748,18.1668,9.7511,True,上港集团,12.0503,11.94
601919.XSHG,2446,440.181,25.9838,16.4596,-94.2305,True,中远海控,21.1259,11.98
601198.XSHG,1203,83.4749,33.8544,33.133,17.1619,True,东兴证券,22.7726,12.05
002508.XSHE,2235,58.0334,25.6115,25.5655,11.8458,True,老板电器,18.1149,12.17
600383.XSHG,2446,27.164,10.6959,10.4295,4.1516,True,金地集团,6.5013,12.55
603019.XSHG,1276,386.2146,111.202,94.7334,21.3395,True,中科曙光,66.6582,12.93
000002.XSHE,2446,24.1631,11.2025,10.4602,5.2093,True,万科A,7.9144,13.0
