code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
601166.XSHG,2453,53.7825,8.1268,6.2461,3.9732,True,兴业银行,6.7677,61.43
601718.XSHG,1813,65.1594,25.5543,25.8169,9.4048,True,ST际华,28.936,62.0
601988.XSHG,2453,31.6943,8.9119,6.8939,4.3683,True,中国银行,7.8102,62.09
601328.XSHG,2453,43.7285,8.7533,6.8601,4.2953,True,交通银行,7.5498,62.13
601877.XSHG,1950,74.5869,22.6378,18.6134,11.4014,True,正泰电器,20.9109,62.21
601901.XSHG,1574,176.015,49.2428,39.1542,12.1048,True,方正证券,49.2038,62.26
600585.XSHG,2453,63.6818,15.9578,12.9789,6.4642,True,海螺水泥,14.9038,62.33
601898.XSHG,2431,2315.8802,112.6115,18.2639,-109.6863,True,中煤能源,23.1682,62.52
601688.XSHG,1929,50.2795,23.7075,22.4127,9.0552,True,华泰证券,24.3288,62.73
600028.XSHG,2453,38.3939,15.314,12.8611,6.9796,True,中国石化,16.0636,63.6
002142.XSHE,2453,68.0924,13.1212,9.3411,4.9391,True,宁波银行,11.3561,63.6
601669.XSHG,1531,36.4817,13.8721,13.8535,5.6101,True,中国电建,16.4711,64.01
600000.XSHG,2453,48.7668,8.7255,6.7153,3.8444,True,浦发银行,7.2568,64.08
601018.XSHG,1785,57.5473,21.6241,18.656,9.8342,True,宁波港,26.6504,64.09
601766.XSHG,2299,160.1455,32.9578,26.8299,12.2949,True,中国中车,33.3891,64.42
601169.XSHG,2453,47.6194,10.3231,7.8203,4.733,True,北京银行,8.8657,64.9
600233.XSHG,2453,2593.1411,52.4202,24.2877,7.0883,True,圆通速递,32.4096,64.94
601601.XSHG,2453,375.7569,8.4161,21.3659,-891.4821,True,中国太保,25.5329,65.11
600376.XSHG,2453,1543.1378,44.0281,14.1766,5.0912,True,首开股份,17.505,65.23
600498.XSHG,2453,77.9251,36.6174,35.8775,15.9441,True,烽火通信,39.729,65.35
600008.XSHG,2453,101.856,37.1024,34.0415,16.7285,True,首创环保,40.8897,65.43
600958.XSHG,701,76.3727,29.7093,31.5844,11.0022,True,东方证券,34.0668,65.48
601800.XSHG,1435,27.219,10.8977,11.0208,4.446,True,中国交建,13.7689,65.99
600340.XSHG,2453,16056.8497,182.9789,12.658,-1570.5575,True,*ST华幸,15.5963,66.63
600048.XSHG,2453,107.2949,14.3836,10.4257,4.361,True,保利发展,12.9968,66.65
601881.XSHG,249,33.0605,22.9074,23.2835,10.111,True,中国银河,24.4718,66.67
600406.XSHG,2453,129.2295,43.984,34.8294,19.269,True,国电南瑞,48.2089,66.98
600485.XSHG,2453,5723.6007,190.5226,51.0647,-149.6103,True,*ST信威,79.6506,67.09
601878.XSHG,149,62.9539,51.094,50.6603,31.0459,True,浙商证券,53.8596,67.11
000100.XSHE,2453,190.4468,28.2683,21.0691,-15.4865,True,TCL科技,25.5191,67.7
601398.XSHG,2453,37.4359,8.8926,6.8466,4.3913,True,工商银行,9.2667,67.71
601318.XSHG,2453,477.4285,14.5689,15.5792,-208.3146,True,中国平安,19.2666,68.51
002304.XSHE,2003,66.7097,25.6232,20.9456,6.8623,True,洋河股份,30.2651,68.6
601866.XSHG,2453,415.144,1.3317,-8.5081,-203.8317,True,中远海发,40.0499,68.72
002465.XSHE,1802,109.2685,48.5555,45.3614,29.4164,True,海格通信,50.9715,69.7
300003.XSHE,2008,99.474,46.8774,48.4534,14.2625,True,乐普医疗,55.04,69.77
000783.XSHE,2453,87.9735,25.1655,24.7333,-141.1795,True,长江证券,29.6481,70.16
002024.XSHE,2453,268.4747,49.723,30.6168,-100.5164,True,ST易购,74.0478,70.37
600177.XSHG,2453,31.6887,11.4029,9.9905,5.0699,True,雅戈尔,11.9507,70.93
600369.XSHG,2453,791.0054,86.1745,34.1718,-75.6323,True,西南证券,63.1345,71.66
601992.XSHG,1686,39.3152,15.9357,14.4306,7.1394,True,金隅集团,21.0333,71.95
002736.XSHE,754,64.1021,21.8351,22.0553,7.7931,True,国信证券,26.1697,72.41
600029.XSHG,2453,205.6783,13.611,14.1826,-135.9893,True,南方航空,20.3224,72.42
002252.XSHE,2339,244.8848,72.5407,54.5684,27.7738,True,上海莱士,75.5042,72.51
601668.XSHG,2069,64.1626,11.1199,7.9249,3.8871,True,中国建筑,10.3637,73.03
600115.XSHG,2453,95.1043,15.2291,13.7057,-116.4413,True,中国东航,20.9602,73.09
600085.XSHG,2453,100.7692,44.9794,44.5551,27.4915,True,同仁堂,48.3698,73.13
600887.XSHG,2453,378.0587,27.1742,21.5599,-139.0219,True,伊利股份,33.9112,73.49
300059.XSHE,1914,2527.0569,-51.0918,70.9496,-8514.2267,True,东方财富,117.8776,73.83
600104.XSHG,2453,3011.5803,112.2199,9.3735,5.4661,True,上汽集团,12.1794,73.95
