code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
000712.XSHE,2449,1253.5521,69.2602,69.124,-2468.7729,True,锦龙股份,19.4555,0.04
600315.XSHG,2449,142.6098,49.7516,43.9554,20.6436,True,上海家化,20.6436,0.04
601006.XSHG,2328,69.5442,17.8043,12.6747,6.7904,True,大秦铁路,6.7904,0.04
000063.XSHE,2449,76.6021,20.4619,25.6477,-98.1241,True,中兴通讯,14.9344,0.05
300070.XSHE,1421,225.6014,67.0666,58.3464,31.3204,True,碧水源,31.3204,0.07
600999.XSHG,1525,59.6365,27.6945,25.1475,7.9935,True,招商证券,7.9935,0.07
601901.XSHG,1103,176.015,57.3403,41.5537,12.1048,True,方正证券,12.1048,0.09
000776.XSHE,2449,253.5695,-1229.428,35.0523,-19490.2518,True,广发证券,7.8873,0.09
000793.XSHE,2449,298.6404,63.1951,43.4019,23.4919,True,*ST华闻,23.7035,0.12
000750.XSHE,2449,413.9157,33.5759,50.4298,-655.2832,True,国海证券,12.9067,0.13
601788.XSHG,1584,177.7272,18.6226,30.0331,-318.6051,True,光大证券,7.6484,0.14
600674.XSHG,2449,314.6187,49.385,35.9085,8.5136,True,川投能源,8.7517,0.16
600089.XSHG,2449,104.481,29.1293,24.3034,13.3848,True,特变电工,13.9875,0.16
600886.XSHG,2449,136.9798,34.0577,23.5391,7.3901,True,国投电力,7.5878,0.16
300146.XSHE,1263,106.5127,51.6798,52.1815,30.207,True,汤臣倍健,30.3578,0.16
000413.XSHE,2449,4783.814,325.2519,39.569,-858.8187,True,ST旭电,19.4897,0.17
000826.XSHE,2449,91.1135,43.5948,41.4862,25.0265,True,*ST启环,26.0348,0.2
601555.XSHG,1021,122.9907,50.8858,46.017,10.7224,True,东吴证券,10.9361,0.2
601688.XSHG,1458,50.2795,25.2927,23.9636,9.0552,True,华泰证券,9.3149,0.27
002736.XSHE,283,64.1021,24.1446,15.1312,7.7931,True,国信证券,7.7931,0.35
600369.XSHG,2449,791.0054,89.3531,34.2778,-75.6323,True,西南证券,11.581,0.36
600583.XSHG,2449,396.6452,22.4546,28.0917,-136.5569,True,海油工程,7.7549,0.36
000895.XSHE,2449,146.3096,38.2349,32.5562,13.2883,True,双汇发展,14.3791,0.37
000166.XSHE,265,156.0948,52.6266,37.321,8.7895,True,申万宏源,8.7895,0.38
600600.XSHG,2449,96.8327,38.2076,31.3725,20.7271,True,青岛啤酒,23.0443,0.41
000686.XSHE,2449,1799.0249,-167326.7545,31.3206,-4442737.1968,True,东北证券,8.3986,0.47
601985.XSHG,175,73.2911,41.4408,37.8485,25.5074,True,中国核电,25.5074,0.57
300059.XSHE,1443,2527.0569,-90.3971,72.4718,-8514.2267,True,东方财富,33.2112,0.57
601211.XSHG,164,30.7247,14.3509,11.5804,7.9356,True,国泰海通,7.9356,0.61
600837.XSHG,2449,1659.6403,120.6084,26.1079,8.6275,True,海通证券,9.0078,0.65
600252.XSHG,2449,316.5797,47.9792,29.2709,-19.7549,True,中恒集团,10.8726,0.68
000538.XSHE,2449,77.3237,40.2473,38.872,20.396,True,云南白药,21.186,0.73
002202.XSHE,1985,546.0485,61.8663,32.4324,12.7552,True,金风科技,13.8817,0.76
601607.XSHG,2148,116666.0006,3278.4037,24.0801,13.0098,True,上海医药,14.2568,0.84
601318.XSHG,2189,477.4285,21.5747,17.2276,-208.3146,True,中国平安,9.4922,0.92
600030.XSHG,2449,323.161,34.2261,21.9729,7.9206,True,中信证券,8.7278,0.94
600485.XSHG,2449,5723.6007,192.2124,56.1608,-149.6103,True,*ST信威,17.9993,0.95
000783.XSHE,2449,492.3128,27.4142,22.0546,-147.7291,True,长江证券,11.3194,0.96
600177.XSHG,2449,52.3508,14.8815,11.0403,5.0699,True,雅戈尔,5.6649,1.02
000581.XSHE,2449,158.4516,30.3839,20.8941,8.6169,True,威孚高科,10.1791,1.06
601336.XSHG,1017,46.8327,22.9832,20.8092,10.499,True,新华保险,12.092,1.08
601098.XSHG,1297,42.1882,23.8912,22.4755,15.8696,True,中南传媒,16.8179,1.23
601601.XSHG,1986,384.3125,5.9772,21.1146,-891.4821,True,中国太保,12.4407,1.56
603885.XSHG,185,98.2512,50.8086,40.9995,21.3821,True,吉祥航空,25.068,1.62
