code,history_count,history_pe_max,history_pe_mean,history_pe_median,history_pe_min,is_positive,name,pe_ttm,percentile
000656.XSHE,2452,908.8197,41.5525,12.7924,5.3396,True,金科股份,5.3396,0.04
000671.XSHE,2452,28.1664,14.2792,15.2791,4.6666,True,ST阳光城,4.7214,0.08
600998.XSHG,2452,98.2609,38.4488,40.5172,11.0353,True,九州通,11.2786,0.24
601872.XSHG,2452,417.115,40.7014,25.5511,-344.8782,True,招商轮船,6.9205,0.25
600848.XSHG,2452,4452.2403,327.4511,85.4173,-299.0158,True,上海临港,28.8641,0.3
000961.XSHE,2452,150.0057,27.11,14.5178,5.1262,True,ST中南,5.2499,0.33
001979.XSHE,1190,26.3218,13.5124,12.8699,7.023,True,招商蛇口,7.1075,0.34
600390.XSHG,2452,1328.2627,-60.0382,10.3305,-2340.2012,True,五矿资本,8.4231,0.38
600340.XSHG,2452,16056.8497,224.7609,12.0057,3.0451,True,*ST华幸,3.0451,0.41
002146.XSHE,2452,24.588,9.4032,9.7158,3.0104,True,荣盛发展,3.2118,0.65
002939.XSHE,561,92.4081,47.0541,44.5607,23.7519,True,长城证券,24.4596,0.71
601390.XSHG,2452,46.2801,11.5457,9.5581,4.838,True,中国中铁,4.9773,0.77
300498.XSHE,1290,108.776,24.792,18.7315,6.6052,True,温氏股份,6.9294,0.78
600061.XSHG,2452,18061.7283,23.5167,23.9778,-7215.778,True,国投资本,12.8773,0.85
601162.XSHG,566,214.9541,125.7929,136.6683,34.2185,True,天风证券,41.3294,1.06
000627.XSHE,2452,3756.3087,132.7433,24.8782,-175.0594,True,*ST天茂,13.8731,1.18
601236.XSHG,393,150.4265,79.5026,74.2677,40.1035,True,红塔证券,41.8728,1.27
003816.XSHE,357,28.5606,17.3721,16.9711,14.1473,True,中国广核,14.2553,1.4
688009.XSHG,382,39.022,20.3014,18.6996,15.1839,True,中国通号,15.9902,1.57
601186.XSHG,2452,29.4645,9.8565,8.171,4.5719,True,中国铁建,4.9754,1.71
002945.XSHE,504,163.0724,88.9777,88.2111,30.3724,True,华林证券,42.0328,1.79
600606.XSHG,2452,1406.7271,53.9609,12.253,-752.999,True,绿地控股,4.6559,2.12
601077.XSHG,317,10.2592,6.342,6.2153,5.2184,True,渝农商行,5.2695,2.21
603160.XSHG,1057,111.9558,53.8527,47.4758,23.1373,True,汇顶科技,35.859,2.27
601108.XSHG,807,53.9867,31.8532,30.6046,16.3267,True,财通证券,17.7928,2.35
601607.XSHG,2452,171.7704,19.1973,16.9821,10.8439,True,上海医药,12.2865,2.57
601198.XSHG,1457,83.4749,32.9395,32.0371,17.1619,True,东兴证券,20.7163,2.95
600177.XSHG,2452,103.5846,-29.1667,8.1446,-860.152,True,雅戈尔,5.6865,3.35
002157.XSHE,2452,454.0873,21.7481,25.9809,-814.4705,True,正邦科技,7.019,3.45
600637.XSHG,2452,237.1198,45.997,35.7396,11.2475,True,东方明珠,13.9989,3.87
601881.XSHG,988,51.9801,24.8713,23.489,10.111,True,中国银河,14.5813,4.05
002456.XSHE,2452,430.956,48.963,48.1108,-393.0469,True,欧菲光,26.1368,4.81
601696.XSHG,238,128.86,82.1913,80.3044,26.9768,True,中银证券,59.9177,5.04
000938.XSHE,2452,451.7445,71.8188,51.3352,27.6198,True,紫光股份,31.5545,5.18
002602.XSHE,2322,150.0778,52.5466,48.8325,13.6639,True,世纪华通,16.9475,5.3
600383.XSHG,2452,17.9065,9.925,9.1015,4.1516,True,金地集团,5.4123,5.38
601618.XSHG,2452,52.1015,13.5537,12.1554,-7.4431,True,中国中冶,8.0903,5.92
601985.XSHG,1385,73.2911,24.0244,23.3901,11.8143,True,中国核电,14.4157,5.99
601990.XSHG,651,138.8984,71.6001,69.6203,36.5551,True,南京证券,47.0948,6.3
601668.XSHG,2452,15.2617,7.2714,6.9684,3.8871,True,中国建筑,4.6803,6.32
600705.XSHG,2452,1916.8781,94.9209,22.6963,1.3704,True,中航产融,9.8153,7.87
600048.XSHG,2452,16.9341,8.851,8.6677,4.361,True,保利发展,5.7264,8.4
603019.XSHG,1530,386.2146,106.2351,88.2371,21.3395,True,中科曙光,64.1114,8.5
300676.XSHE,874,265.0184,101.4466,75.2946,18.6965,True,华大基因,24.5825,8.58
601318.XSHG,2452,27.4158,13.4722,12.2172,8.1682,True,中国平安,10.1238,9.38
601336.XSHG,2227,46.8327,22.1587,19.6196,8.365,True,新华保险,12.078,9.56
601169.XSHG,2452,11.3419,6.8168,6.8208,4.6318,True,北京银行,5.0717,9.58
600027.XSHG,2452,264.1982,10.0878,10.8127,-281.2168,True,华电国际,6.7112,9.75
000069.XSHE,2452,21.7768,9.9979,10.1375,3.9847,True,华侨城A,5.0596,9.87
600918.XSHG,172,70.3531,44.1544,42.5912,20.5237,True,中泰证券,35.4742,9.88
601878.XSHG,888,66.531,40.0395,38.9385,20.4365,True,浙商证券,28.6286,10.14
688012.XSHG,382,758.8484,380.3111,330.5628,174.4615,True,中微公司,222.0134,10.21
601117.XSHG,2452,34.3552,14.5338,13.359,7.3878,True,中国化学,9.1524,10.36
000776.XSHE,2452,47.7998,-19.8512,18.6231,-15277.1091,True,广发证券,12.0365,10.43
600109.XSHG,2452,123.6145,41.4615,28.3255,15.3505,True,国金证券,20.1579,10.48
002555.XSHE,2424,4143.0252,287.2264,43.272,11.7759,True,三七互娱,21.893,10.6
002236.XSHE,2452,66.3724,31.8363,30.0978,12.9741,True,大华股份,16.8613,10.69
601328.XSHG,2452,10.556,6.09,6.087,4.2953,True,交通银行,4.8165,11.01
002958.XSHE,461,23.9998,12.1166,11.3474,8.0629,True,青农商行,8.5586,11.06
600297.XSHG,2452,2694.2846,62.377,20.1945,-1018.7525,True,广汇汽车,11.8288,11.35
601229.XSHG,1035,12.9656,7.5354,7.2111,5.469,True,上海银行,5.7887,11.59
601555.XSHG,2231,213.3145,44.4731,35.6008,10.7224,True,东吴证券,20.4548,12.1
000166.XSHE,1475,156.0948,26.5311,21.6608,8.7895,True,申万宏源,15.6086,12.68
000783.XSHE,2452,175.8632,33.1008,26.6531,10.6352,True,长江证券,18.8679,12.72
600522.XSHG,2452,50.1519,19.2993,18.0076,11.0877,True,中天科技,13.7415,12.77
600050.XSHG,2452,1071.7016,93.3977,42.1215,16.4855,True,中国联通,23.274,12.85
600332.XSHG,2452,115.8317,35.4638,29.4543,13.4994,True,白云山,17.4103,12.93
601998.XSHG,2452,11.7557,6.7772,6.6342,4.614,True,中信银行,5.2651,13.09
000963.XSHE,2452,43.0168,28.8798,30.4672,10.5791,True,华东医药,17.4953,13.34
000977.XSHE,2452,1274.384,83.1192,62.08,30.6598,True,浪潮信息,42.8545,13.62
002673.XSHE,2140,288.7478,78.9159,58.51,19.0082,True,西部证券,39.6742,13.64
600837.XSHG,2452,44.0602,21.5042,20.6916,8.6275,True,海通证券,14.6976,13.99
601688.XSHG,2452,50.2795,22.4935,21.3161,9.0552,True,华泰证券,13.7664,14.03
002916.XSHE,771,80.3252,46.8887,45.3321,19.1485,True,深南电路,37.7552,15.69
600015.XSHG,2452,15.1185,6.1448,5.6705,4.1149,True,华夏银行,4.6796,15.78
601377.XSHG,2452,390.8715,37.6302,35.693,9.3642,True,兴业证券,18.6895,15.86
601919.XSHG,2452,440.181,25.2755,15.6623,-94.2305,True,中远海控,15.6631,16.33
600016.XSHG,2452,9.7112,6.1554,6.1054,4.4201,True,民生银行,4.9523,17.09
300136.XSHE,2452,507.3883,41.7742,47.8013,-376.7067,True,信维通信,33.1174,17.36
601933.XSHG,2452,90.5622,46.0533,46.7769,25.3736,True,永辉超市,33.5934,17.5
601800.XSHG,2174,27.219,10.0675,8.7118,4.446,True,中国交建,6.4108,17.53
601669.XSHG,2270,36.4817,12.5868,10.69,5.6101,True,中国电建,7.8081,17.84
002624.XSHE,2262,158.996,30.5602,35.679,-462.2233,True,完美世界,25.0609,18.06
600886.XSHG,2452,103.0572,19.3943,13.2505,7.3901,True,国投电力,10.2379,18.35
601319.XSHG,546,39.7362,18.4034,15.7012,11.4429,True,中国人保,13.3327,18.5
600068.XSHG,2452,38.0069,12.4806,11.2537,5.1419,True,葛洲坝,6.3783,18.68
002736.XSHE,1493,64.1021,21.6716,20.8014,7.7931,True,国信证券,17.3178,18.75
600584.XSHG,2452,979.6909,143.5055,88.3534,-489.5957,True,长电科技,64.8903,19.5
601988.XSHG,2452,9.7125,6.2027,5.9786,4.3683,True,中国银行,5.4285,20.15
600369.XSHG,2452,233.6218,49.2694,36.7775,11.0044,True,西南证券,27.6454,21.7
601231.XSHG,2188,84.1679,33.251,30.8048,14.9439,True,环旭电子,24.3089,22.26
600018.XSHG,2452,35.8148,16.9006,15.7384,9.7511,True,上港集团,12.3276,22.72
000002.XSHE,2452,19.0364,10.2767,9.7744,5.2093,True,万科A,8.2713,22.8
600585.XSHG,2452,31.8376,10.7996,9.9663,5.59,True,海螺水泥,7.9714,22.92
002600.XSHE,2331,3447.4381,14.1608,70.8904,-7952.9968,True,领益智造,59.8882,23.56
002714.XSHE,1717,401.9264,14.6508,30.863,-1040.1816,True,牧原股份,18.208,23.75
601225.XSHG,1717,1998.4958,50.753,7.765,-424.1433,True,陕西煤业,7.3369,24.41
600655.XSHG,2452,52.0781,19.0283,18.0639,8.2818,True,豫园股份,11.0822,24.63
000728.XSHE,2452,59.5271,31.6298,29.3848,10.5319,True,国元证券,25.3148,24.67
601066.XSHG,647,77.1707,39.54,42.3897,12.7005,True,中信建投,30.1885,24.73
300003.XSHE,2452,99.474,42.1812,43.3705,14.2625,True,乐普医疗,29.1687,24.84
300413.XSHE,1478,586.931,125.1008,116.4095,31.971,True,芒果超媒,78.9142,24.9
002773.XSHE,1374,121.8761,60.3958,57.1145,29.5535,True,康弘药业,45.7532,25.11
601211.XSHG,1374,30.7247,16.3977,16.3247,7.9356,True,国泰海通,13.0877,25.4
