年份,总收益率,年化收益率,年化波动率,夏普比率,最大回撤,Calmar比率,交易日数
2018,0.005727,0.228253,0.123006,1.652380,-0.014124,16.161244,7
2019,0.202670,0.209969,0.065527,2.822775,-0.032589,6.442941,244
2020,0.152244,0.159011,0.121769,1.100539,-0.109550,1.451495,242
2021,0.106799,0.111450,0.067876,1.273644,-0.037803,2.948129,242
2022,-0.038657,-0.040222,0.094408,-0.690849,-0.062728,-0.641207,242
2023,0.211406,0.221045,0.062208,3.151452,-0.028091,7.868798,242
2024,0.211916,0.220574,0.075185,2.601252,-0.045411,4.857284,243
2025,0.192980,0.201711,0.085957,2.055802,-0.049712,4.057621,242
2026,0.043642,0.066581,0.117567,0.353676,-0.095745,0.695397,167
