date,w_DIV,w_NDX,w_BOND,w_GOLD
2018-12-19,0.2500037555763526,0.24998533466852546,0.24999832220945267,0.24999842677813866
2018-12-20,0.2506423674852565,0.24712173149462427,0.2515031768760856,0.25071852720410753
2018-12-21,0.2520950459790766,0.24064895140540107,0.2530314597422197,0.25421024935692627
2018-12-24,0.2533316830887844,0.2366252353955359,0.25384775571542556,0.2561809621678915
2018-12-26,0.24912761730791574,0.24620080299596353,0.25057536200682545,0.2540820924229142
2018-12-27,0.24900528490272564,0.24727711211083805,0.2509435645388746,0.25275992011729587
2018-12-28,0.24889799806001126,0.24587543275138662,0.2511334091447031,0.2540790534449687
2018-12-31,0.2499834015933589,0.2500066310686973,0.2500042400333972,0.2500042896060692
2019-01-02,0.24934540041750308,0.25013518457039424,0.2501100353430957,0.2504079456397866
2019-01-03,0.2510409809241554,0.24367682133056476,0.2518368850449496,0.25344386891952847
2019-01-04,0.24869150331980694,0.2515717293140427,0.24870574775270451,0.2510295904884313
2019-01-07,0.24850775597972907,0.2535670760598485,0.24823131266885148,0.24969242722247484
2019-01-08,0.24814946921532388,0.2551617646450782,0.24860141059497087,0.24808592953445352
2019-01-09,0.24772571422743347,0.2570091108971527,0.24836382737519208,0.24689992392518917
2019-01-10,0.24792335369313778,0.2565613289933859,0.2484520589898908,0.2470618336128023
2019-01-11,0.24853208093383497,0.25536955163093356,0.24907414974588074,0.24702278990854673
2019-01-14,0.24942681585775234,0.2526776578484221,0.2497262140796165,0.24816787929328252
2019-01-15,0.24852232304963945,0.2565589082047629,0.24867767560984677,0.24623966541100456
2019-01-16,0.24807112086562758,0.2563107889861956,0.24926252385386236,0.2463541411616594
2019-01-17,0.2475807440294948,0.25765069336167074,0.24878613498748775,0.24598100530583536
2019-01-18,0.2476918517755468,0.25950282027113214,0.24759255174142464,0.24521135920416823
2019-01-21,0.2480436093527038,0.26004122816515396,0.24746102339748244,0.24445272091116613
2019-01-22,0.24823081779419506,0.2565846971564295,0.24882841009302686,0.24635464890625766
2019-01-23,0.2489609831833598,0.2569743556848733,0.2484774067526305,0.24558583039425072
2019-01-24,0.24920669931405529,0.25762462672688696,0.2477787369457395,0.24538851544101709
2019-01-25,0.2493283763346979,0.26015833700928837,0.24652070397459552,0.24399116799370782
2019-01-28,0.2500257148859419,0.25593813474808136,0.24734481513305076,0.24668991518725225
2019-01-29,0.2515914137506231,0.25289578769568105,0.24765718243551163,0.24785419671370185
2019-01-30,0.24905914867857445,0.2579145132011016,0.2461099348801794,0.24691499314122803
2019-01-31,0.24902892598732157,0.25944011814087975,0.24553374088384916,0.24599581004026652
2019-02-01,0.25098390580592417,0.25792234335010356,0.24500926624516414,0.24608308265217685
2019-02-11,0.25166310191169516,0.25935219744745036,0.24429591835720527,0.24468738818995245
2019-02-12,0.2511622660144417,0.2626156153560435,0.24283752967743322,0.24338320403700864
2019-02-13,0.2534038400026667,0.26185201752345855,0.24239483774159534,0.24234792217364415
2019-02-14,0.2530559155941743,0.26264848996302026,0.2422728193092261,0.24202139171660708
2019-02-15,0.24920363757022324,0.2638946491439149,0.24280934058311743,0.24409098662490103
2019-02-18,0.2527110617737033,0.26248576787146183,0.24079635243003755,0.24400543979974698
2019-02-19,0.2523628927320152,0.26266363831400424,0.24050949536727415,0.2444625961846445
2019-02-20,0.2523041875539088,0.2619389436893117,0.24028568287931332,0.24546981062339837
2019-02-21,0.2521298213052862,0.26105747102145416,0.24136092660595718,0.2454503982430886
2019-02-22,0.2534879473610785,0.26223647860062915,0.24082157868366638,0.24345261521811898
2019-02-25,0.26075891422171693,0.2606071686444716,0.23798149509281347,0.2406510548754922
2019-02-26,0.2597196551207939,0.26093700852022644,0.23827806383313144,0.24106390143271214
2019-02-27,0.2602770153038953,0.2601984829517383,0.2386540643533095,0.24086906687871343
2019-02-28,0.26033584482297034,0.26037763970140465,0.23933802977133545,0.2399471114843774
2019-03-01,0.2623764303239758,0.26170865128889703,0.23804551914986036,0.23786802958572895
2019-03-04,0.2655771453861127,0.26183263548642516,0.237959080495188,0.2346297694263545
2019-03-05,0.26784685498998323,0.2614216703864999,0.23748684978484302,0.23324325778182103
2019-03-06,0.26947740199746867,0.2593684194546802,0.2370817615202612,0.23407105362949282
2019-03-07,0.269294877929575,0.25766226039689244,0.23891247803489157,0.23412901381166001
2019-03-08,0.26133281848368445,0.2596791700113328,0.24098844254352503,0.23799818897213426
2019-03-11,0.26285475742160064,0.26226232079843925,0.23859142051529209,0.23629013581018987
2019-03-12,0.2645087640608009,0.2626131685901838,0.23779452344212365,0.23508218204071818
2019-03-13,0.2629861989987855,0.26377480334443265,0.23717397015323594,0.23606366982949817
2019-03-14,0.26136433256898584,0.26399380663863753,0.23814647294410904,0.2364940242228425
2019-03-15,0.26358112108287046,0.2650459056742387,0.23649571199255942,0.23487590767511352
2019-03-18,0.2690089825194598,0.2632499689112432,0.23474435746928246,0.23299534826772592
2019-03-19,0.26835346346824523,0.26366794277217764,0.23449528417577895,0.23348196827706832
