date,策略净值,基准净值,策略收益率
2022-06-29,10000000.0,10000000.0,0.0
2022-06-30,10000000.0,10037169.5024851,0.0
2022-07-01,9944247.2835,10017388.148801155,-0.0055752716499999355
2022-07-04,9928414.2835,10033896.894984053,-0.0015921768182767249
2022-07-05,10110860.2835,10111745.665277507,0.018376146964697693
2022-07-06,9872095.2835,9881102.600276403,-0.023614706692134058
2022-07-07,9879546.2835,9869284.039831774,0.0007547536552299228
2022-07-08,9866139.2835,9876224.500421723,-0.0013570461249208243
2022-07-11,9784264.2835,9869687.77768726,-0.008298585459555308
2022-07-12,10008736.2835,9968904.517620252,0.022942143987110475
2022-07-13,9982872.2835,9934469.150559979,-0.0025841424199215535
2022-07-14,9888200.2835,9792505.95528318,-0.00948344297226733
2022-07-15,9792742.2835,9651188.45472528,-0.009653728409939943
2022-07-18,10114180.2835,9872019.48092855,0.03282410490283172
2022-07-19,10104900.2835,9856906.133419124,-0.0009175236885127225
2022-07-20,10205468.2835,9896892.29561913,0.009952399051796235
2022-07-21,10055261.2835,9714116.218317024,-0.014718285905885531
2022-07-22,9999132.2835,9697170.686303953,-0.005582052859442244
2022-07-25,9978122.2835,9710318.012977416,-0.002101182323057116
2022-07-26,10012086.2835,9785670.50522916,0.0034038468396166977
2022-07-27,10002299.2835,9738001.771864265,-0.0009775185433757994
2022-07-28,10072530.2835,9763825.83625334,0.007021485561410357
2022-07-29,10010773.2835,9713990.439917354,-0.0061312300148816945
2022-08-01,10079047.2835,9777713.154165518,0.006820052564024293
2022-08-02,9898843.2835,9669792.29445097,-0.01787907080215856
2022-08-03,9794385.2835,9546779.126844645,-0.010552546091331383
2022-08-04,9769604.2835,9606331.652611302,-0.0025301230534342523
2022-08-05,9874046.2835,9647824.50146691,0.010690504647807852
2022-08-08,9960896.2835,9716130.316652311,0.008795786196093669
2022-08-09,10171595.2835,9767757.351606233,0.021152614584394103
2022-08-10,10115468.2835,9719715.4509422,-0.0055180134910644
2022-08-11,10239648.2835,9848776.824709602,0.012276248268462187
2022-08-12,10437218.2835,9980157.972997798,0.01929460803046923
2022-08-15,10446871.2835,9963199.013972465,0.0009248632861555972
2022-08-16,10471243.2835,9940886.632722266,0.002332947285231146
2022-08-17,10486128.2835,9962866.77287445,0.001421512192678609
2022-08-18,10391737.2835,9836120.022242932,-0.009001511086653924
2022-08-19,10406446.2835,9906684.025755959,0.0014154514879196611
2022-08-22,10484631.2835,9984689.965367055,0.00751313155999922
2022-08-23,10294712.2835,10042866.417942958,-0.01811403709531323
2022-08-24,10231014.2835,9959173.244720092,-0.0061874482982970935
2022-08-25,10632133.2835,10202880.365517842,0.03920618121381203
2022-08-26,10670866.2835,10144607.529756514,0.003643013021677355
2022-08-29,10730260.2835,10169957.833454255,0.005565996088980896
2022-08-30,10535633.2835,10093924.616437161,-0.018138143424095587
2022-08-31,10375335.2835,10053497.480994852,-0.015214842400697925
2022-09-01,10534671.2835,10104522.501261069,0.015357190456620096
2022-09-02,10529433.2835,10073218.73907258,-0.0004972153244310329
2022-09-05,10618812.2835,10209922.824266355,0.008488491032091927
2022-09-06,10807154.2835,10275000.043795792,0.0177366352254531
2022-09-07,11114675.2835,10330577.710642189,0.028455316907015193
2022-09-08,11117506.2835,10337834.61162788,0.00025470829581530907
2022-09-09,11385162.2835,10510580.96480651,0.02407518315480872
