年份,总收益率,年化收益率,年化波动率,夏普比率,最大回撤,Calmar比率,交易日数
2022,0.052752,0.108287,0.228315,0.364792,-0.170154,0.636409,126
2023,0.239103,0.251288,0.190839,1.185756,-0.146489,1.715409,241
2024,0.209419,0.219961,0.249669,0.780876,-0.235293,0.934835,241
2025,0.110965,0.115806,0.190949,0.475553,-0.111792,1.035909,242
2026,0.409405,0.629996,0.206570,2.928762,-0.108535,5.804545,177
