stock_code,dividend_yield,roe,factor,name,industry
002532,0.069459551475443,21.52341968017557,1.495007077202718,天山铝业,有色金属
000651,0.0778420510723375,18.765103446493416,1.4607141408596371,格力电器,家用电器
000703,0.0497819931185959,19.900897281371368,0.9907063315151133,恒逸石化,石油石化
000333,0.0465653913228559,20.95440502748084,0.9757500700422642,美的集团,家用电器
600887,0.0513011158245382,18.847684719685383,0.9669072568289586,伊利股份,食品饮料
000933,0.0308909339522812,24.86436322101656,0.7680834020259524,神火股份,有色金属
601225,0.0367015098722415,20.168943411288417,0.740230675722082,陕西煤业,煤炭
600036,0.0495451393122433,13.247989593188269,0.6563734900016622,招商银行,银行
600900,0.0352609311134669,16.749878703457345,0.5906163191215357,长江电力,公用事业
601166,0.0596196809879111,9.023830890417788,0.5379979189755663,兴业银行,银行
603156,0.0341685619233856,15.609051898110431,0.5333388563459258,养元饮品,食品饮料
601857,0.0465753423989308,10.747105230790858,0.5005501059214243,中国石油,石油石化
600795,0.0459923683781403,10.769903701286529,0.49533337842666675,国电电力,公用事业
601088,0.0401358546368893,11.971002627174414,0.48046642130209216,中国神华,煤炭
600377,0.0383711798195735,11.249618620058405,0.4316611389718833,宁沪高速,交通运输
601398,0.0381673294472506,9.442708467835653,0.36040296496622626,工商银行,银行
601939,0.0354007048090797,9.675357564940548,0.3425144770787565,建设银行,银行
601728,0.0408116886293573,6.305459805003193,0.2573364622267183,中国电信,通信
601006,0.0478186673599746,3.668707012437844,0.17543268026897146,大秦铁路,交通运输
600028,0.0210894361116175,4.260953298025998,0.08986110235330518,中国石化,石油石化
600938,0.0021958814303295,16.16313126830567,0.03549231980805052,中国海油,石油石化
600941,0.0009401029771345,9.271440596065716,0.008716108906687043,中国移动,通信
